옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +10,6.3830%,STR : +6,7.2622%,STR : +6,7.2622%
DEX : +10,6.3830%,DEX : +6,7.2622%,DEX : +6,7.2622%
INT : +10,6.3830%,INT : +6,7.2622%,INT : +6,7.2622%
LUK : +10,6.3830%,LUK : +6,7.2622%,LUK : +6,7.2622%
최대 HP : +100,6.3830%,최대 HP : +60,10.8932%,최대 HP : +60,10.8932%
최대 MP : +100,6.3830%,최대 MP : +60,10.8932%,최대 MP : +60,10.8932%
이동속도 : +6,6.3830%,이동속도 : +4,10.8932%,이동속도 : +4,10.8932%
점프력 : +6,6.3830%,점프력 : +4,10.8932%,점프력 : +4,10.8932%
공격력 : +10,4.2553%,공격력 : +3,7.2622%,공격력 : +3,7.2622%
마력 : +10,4.2553%,마력 : +3,7.2622%,마력 : +3,7.2622%
방어력 : +100,6.3830%,방어력 : +60,10.8932%,방어력 : +60,10.8932%
STR : +2%,4.2553%,STR : +10,0.1252%,STR : +10,0.1252%
DEX : +2%,4.2553%,DEX : +10,0.1252%,DEX : +10,0.1252%
INT : +2%,4.2553%,INT : +10,0.1252%,INT : +10,0.1252%
LUK : +2%,4.2553%,LUK : +10,0.1252%,LUK : +10,0.1252%
최대 HP : +2%,4.2553%,최대 HP : +100,0.1252%,최대 HP : +100,0.1252%
최대 MP : +2%,4.2553%,최대 MP : +100,0.1252%,최대 MP : +100,0.1252%
방어력 : +2%,4.2553%,이동속도 : +6,0.1252%,이동속도 : +6,0.1252%
올스탯 : +3,4.2553%,점프력 : +6,0.1252%,점프력 : +6,0.1252%
,,공격력 : +10,0.0834%,공격력 : +10,0.0834%
,,마력 : +10,0.0834%,마력 : +10,0.0834%
,,방어력 : +100,0.1252%,방어력 : +100,0.1252%
,,STR : +2%,0.0834%,STR : +2%,0.0834%
,,DEX : +2%,0.0834%,DEX : +2%,0.0834%
,,INT : +2%,0.0834%,INT : +2%,0.0834%
,,LUK : +2%,0.0834%,LUK : +2%,0.0834%
,,최대 HP : +2%,0.0834%,최대 HP : +2%,0.0834%
,,최대 MP : +2%,0.0834%,최대 MP : +2%,0.0834%
,,방어력 : +2%,0.0834%,방어력 : +2%,0.0834%
,,올스탯 : +3,0.0834%,올스탯 : +3,0.0834%
