옵션1,확률1,옵션2,확률2,옵션3,확률3
최대 HP : +100,5.8824%,STR : +6,7.2622%,STR : +6,7.2622%
최대 MP : +100,5.8824%,DEX : +6,7.2622%,DEX : +6,7.2622%
이동속도 : +5,5.8824%,INT : +6,7.2622%,INT : +6,7.2622%
점프력 : +5,5.8824%,LUK : +6,7.2622%,LUK : +6,7.2622%
방어력 : +100,5.8824%,최대 HP : +50,10.8932%,최대 HP : +50,10.8932%
STR : +12,5.8824%,최대 MP : +50,10.8932%,최대 MP : +50,10.8932%
DEX : +12,5.8824%,이동속도 : +3,10.8932%,이동속도 : +3,10.8932%
INT : +12,5.8824%,점프력 : +3,10.8932%,점프력 : +3,10.8932%
LUK : +12,5.8824%,방어력 : +50,10.8932%,방어력 : +50,10.8932%
공격력 : +12,3.9216%,공격력 : +6,7.2622%,공격력 : +6,7.2622%
마력 : +12,3.9216%,마력 : +6,7.2622%,마력 : +6,7.2622%
최대 HP : +2%,3.9216%,최대 HP : +100,0.1153%,최대 HP : +100,0.1153%
최대 MP : +2%,3.9216%,최대 MP : +100,0.1153%,최대 MP : +100,0.1153%
STR : +3%,3.9216%,이동속도 : +5,0.1153%,이동속도 : +5,0.1153%
DEX : +3%,3.9216%,점프력 : +5,0.1153%,점프력 : +5,0.1153%
INT : +3%,3.9216%,방어력 : +100,0.1153%,방어력 : +100,0.1153%
LUK : +3%,3.9216%,STR : +12,0.1153%,STR : +12,0.1153%
공격력 : +3%,1.9608%,DEX : +12,0.1153%,DEX : +12,0.1153%
마력 : +3%,1.9608%,INT : +12,0.1153%,INT : +12,0.1153%
크리티컬 확률 : +3%,3.9216%,LUK : +12,0.1153%,LUK : +12,0.1153%
데미지 : +3%,1.9608%,공격력 : +12,0.0769%,공격력 : +12,0.0769%
올스탯 : +5,5.8824%,마력 : +12,0.0769%,마력 : +12,0.0769%
,,최대 HP : +2%,0.0769%,최대 HP : +2%,0.0769%
,,최대 MP : +2%,0.0769%,최대 MP : +2%,0.0769%
,,STR : +3%,0.0769%,STR : +3%,0.0769%
,,DEX : +3%,0.0769%,DEX : +3%,0.0769%
,,INT : +3%,0.0769%,INT : +3%,0.0769%
,,LUK : +3%,0.0769%,LUK : +3%,0.0769%
,,공격력 : +3%,0.0384%,공격력 : +3%,0.0384%
,,마력 : +3%,0.0384%,마력 : +3%,0.0384%
,,크리티컬 확률 : +3%,0.0769%,크리티컬 확률 : +3%,0.0769%
,,데미지 : +3%,0.0384%,데미지 : +3%,0.0384%
,,올스탯 : +5,0.1153%,올스탯 : +5,0.1153%
