옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +18,4.8387%,STR : +16,5.3305%,STR : +16,5.3305%
DEX : +18,4.8387%,DEX : +16,5.3305%,DEX : +16,5.3305%
INT : +18,4.8387%,INT : +16,5.3305%,INT : +16,5.3305%
LUK : +18,4.8387%,LUK : +16,5.3305%,LUK : +16,5.3305%
최대 HP : +250,4.8387%,최대 HP : +200,5.3305%,최대 HP : +200,5.3305%
최대 MP : +250,4.8387%,최대 MP : +200,5.3305%,최대 MP : +200,5.3305%
공격력 : +14,3.2258%,공격력 : +12,3.5537%,공격력 : +12,3.5537%
마력 : +14,3.2258%,마력 : +12,3.5537%,마력 : +12,3.5537%
방어력 : +200,4.8387%,방어력 : +150,5.3305%,방어력 : +150,5.3305%
STR : +7%,3.2258%,STR : +5%,3.5537%,STR : +5%,3.5537%
DEX : +7%,3.2258%,DEX : +5%,3.5537%,DEX : +5%,3.5537%
INT : +7%,3.2258%,INT : +5%,3.5537%,INT : +5%,3.5537%
LUK : +7%,3.2258%,LUK : +5%,3.5537%,LUK : +5%,3.5537%
최대 HP : +10%,4.8387%,최대 HP : +7%,5.3305%,최대 HP : +7%,5.3305%
최대 MP : +10%,4.8387%,최대 MP : +7%,5.3305%,최대 MP : +7%,5.3305%
방어력 : +10%,4.8387%,방어력 : +7%,5.3305%,방어력 : +7%,5.3305%
올스탯 : +5%,3.2258%,올스탯 : +4%,3.5537%,올스탯 : +4%,3.5537%
캐릭터 기준 10레벨 당 STR : +2,3.2258%,캐릭터 기준 10레벨 당 STR : +1,3.5537%,캐릭터 기준 10레벨 당 STR : +1,3.5537%
캐릭터 기준 10레벨 당 DEX : +2,3.2258%,캐릭터 기준 10레벨 당 DEX : +1,3.5537%,캐릭터 기준 10레벨 당 DEX : +1,3.5537%
캐릭터 기준 10레벨 당 INT : +2,3.2258%,캐릭터 기준 10레벨 당 INT : +1,3.5537%,캐릭터 기준 10레벨 당 INT : +1,3.5537%
캐릭터 기준 10레벨 당 LUK : +2,3.2258%,캐릭터 기준 10레벨 당 LUK : +1,3.5537%,캐릭터 기준 10레벨 당 LUK : +1,3.5537%
모든 속성 내성 : +5%,1.6129%,모든 속성 내성 : +4%,1.7768%,모든 속성 내성 : +4%,1.7768%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,4.8387%,HP 회복 아이템 및 회복 스킬 효율 : +20%,5.3305%,HP 회복 아이템 및 회복 스킬 효율 : +20%,5.3305%
메소 획득량 : +5%,4.8387%,STR : +18,0.0241%,STR : +18,0.0241%
아이템 드롭률 : +5%,4.8387%,DEX : +18,0.0241%,DEX : +18,0.0241%
,,INT : +18,0.0241%,INT : +18,0.0241%
,,LUK : +18,0.0241%,LUK : +18,0.0241%
,,최대 HP : +250,0.0241%,최대 HP : +250,0.0241%
,,최대 MP : +250,0.0241%,최대 MP : +250,0.0241%
,,공격력 : +14,0.0160%,공격력 : +14,0.0160%
,,마력 : +14,0.0160%,마력 : +14,0.0160%
,,방어력 : +200,0.0241%,방어력 : +200,0.0241%
,,STR : +7%,0.0160%,STR : +7%,0.0160%
,,DEX : +7%,0.0160%,DEX : +7%,0.0160%
,,INT : +7%,0.0160%,INT : +7%,0.0160%
,,LUK : +7%,0.0160%,LUK : +7%,0.0160%
,,최대 HP : +10%,0.0241%,최대 HP : +10%,0.0241%
,,최대 MP : +10%,0.0241%,최대 MP : +10%,0.0241%
,,방어력 : +10%,0.0241%,방어력 : +10%,0.0241%
,,올스탯 : +5%,0.0160%,올스탯 : +5%,0.0160%
,,캐릭터 기준 10레벨 당 STR : +2,0.0160%,캐릭터 기준 10레벨 당 STR : +2,0.0160%
,,캐릭터 기준 10레벨 당 DEX : +2,0.0160%,캐릭터 기준 10레벨 당 DEX : +2,0.0160%
,,캐릭터 기준 10레벨 당 INT : +2,0.0160%,캐릭터 기준 10레벨 당 INT : +2,0.0160%
,,캐릭터 기준 10레벨 당 LUK : +2,0.0160%,캐릭터 기준 10레벨 당 LUK : +2,0.0160%
,,모든 속성 내성 : +5%,0.0080%,모든 속성 내성 : +5%,0.0080%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.0241%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.0241%
,,메소 획득량 : +5%,0.0241%,메소 획득량 : +5%,0.0241%
,,아이템 드롭률 : +5%,0.0241%,아이템 드롭률 : +5%,0.0241%
