옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +18,4.4118%,STR : +16,5.3305%,STR : +16,5.3305%
DEX : +18,4.4118%,DEX : +16,5.3305%,DEX : +16,5.3305%
INT : +18,4.4118%,INT : +16,5.3305%,INT : +16,5.3305%
LUK : +18,4.4118%,LUK : +16,5.3305%,LUK : +16,5.3305%
최대 HP : +300,4.4118%,최대 HP : +240,5.3305%,최대 HP : +240,5.3305%
최대 MP : +300,4.4118%,최대 MP : +240,5.3305%,최대 MP : +240,5.3305%
공격력 : +14,2.9412%,공격력 : +12,3.5537%,공격력 : +12,3.5537%
마력 : +14,2.9412%,마력 : +12,3.5537%,마력 : +12,3.5537%
방어력 : +200,4.4118%,방어력 : +150,5.3305%,방어력 : +150,5.3305%
STR : +7%,2.9412%,STR : +5%,3.5537%,STR : +5%,3.5537%
DEX : +7%,2.9412%,DEX : +5%,3.5537%,DEX : +5%,3.5537%
INT : +7%,2.9412%,INT : +5%,3.5537%,INT : +5%,3.5537%
LUK : +7%,2.9412%,LUK : +5%,3.5537%,LUK : +5%,3.5537%
최대 HP : +10%,4.4118%,최대 HP : +7%,5.3305%,최대 HP : +7%,5.3305%
최대 MP : +10%,4.4118%,최대 MP : +7%,5.3305%,최대 MP : +7%,5.3305%
방어력 : +10%,4.4118%,방어력 : +7%,5.3305%,방어력 : +7%,5.3305%
크리티컬 데미지 : +1%,1.4706%,올스탯 : +4%,3.5537%,올스탯 : +4%,3.5537%
크리티컬 데미지 : +1%,1.4706%,캐릭터 기준 10레벨 당 STR : +1,3.5537%,캐릭터 기준 10레벨 당 STR : +1,3.5537%
올스탯 : +5%,2.9412%,캐릭터 기준 10레벨 당 DEX : +1,3.5537%,캐릭터 기준 10레벨 당 DEX : +1,3.5537%
캐릭터 기준 10레벨 당 STR : +2,2.9412%,캐릭터 기준 10레벨 당 INT : +1,3.5537%,캐릭터 기준 10레벨 당 INT : +1,3.5537%
캐릭터 기준 10레벨 당 DEX : +2,2.9412%,캐릭터 기준 10레벨 당 LUK : +1,3.5537%,캐릭터 기준 10레벨 당 LUK : +1,3.5537%
캐릭터 기준 10레벨 당 INT : +2,2.9412%,모든 속성 내성 : +4%,1.7768%,모든 속성 내성 : +4%,1.7768%
캐릭터 기준 10레벨 당 LUK : +2,2.9412%,HP 회복 아이템 및 회복 스킬 효율 : +20%,5.3305%,HP 회복 아이템 및 회복 스킬 효율 : +20%,5.3305%
모든
                                    스킬레벨 : +2
                                    (5차 및 일부 스킬 제외, 스킬의 마스터 레벨까지만 증가),1.4706%,STR : +18,0.0219%,STR : +18,0.0219%
모든 속성 내성 : +5%,1.4706%,DEX : +18,0.0219%,DEX : +18,0.0219%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,4.4118%,INT : +18,0.0219%,INT : +18,0.0219%
모든
                                    스킬의 재사용 대기시간 : -1초
                                    (10초 이하는 5%감소, 5초 미만으로 감소 불가),4.4118%,LUK : +18,0.0219%,LUK : +18,0.0219%
메소 획득량 : +5%,4.4118%,최대 HP : +300,0.0219%,최대 HP : +300,0.0219%
아이템 드롭률 : +5%,4.4118%,최대 MP : +300,0.0219%,최대 MP : +300,0.0219%
,,공격력 : +14,0.0146%,공격력 : +14,0.0146%
,,마력 : +14,0.0146%,마력 : +14,0.0146%
,,방어력 : +200,0.0219%,방어력 : +200,0.0219%
,,STR : +7%,0.0146%,STR : +7%,0.0146%
,,DEX : +7%,0.0146%,DEX : +7%,0.0146%
,,INT : +7%,0.0146%,INT : +7%,0.0146%
,,LUK : +7%,0.0146%,LUK : +7%,0.0146%
,,최대 HP : +10%,0.0219%,최대 HP : +10%,0.0219%
,,최대 MP : +10%,0.0219%,최대 MP : +10%,0.0219%
,,방어력 : +10%,0.0219%,방어력 : +10%,0.0219%
,,크리티컬 데미지 : +1%,0.0073%,크리티컬 데미지 : +1%,0.0073%
,,크리티컬 데미지 : +1%,0.0073%,크리티컬 데미지 : +1%,0.0073%
,,올스탯 : +5%,0.0146%,올스탯 : +5%,0.0146%
,,캐릭터 기준 10레벨 당 STR : +2,0.0146%,캐릭터 기준 10레벨 당 STR : +2,0.0146%
,,캐릭터 기준 10레벨 당 DEX : +2,0.0146%,캐릭터 기준 10레벨 당 DEX : +2,0.0146%
,,캐릭터 기준 10레벨 당 INT : +2,0.0146%,캐릭터 기준 10레벨 당 INT : +2,0.0146%
,,캐릭터 기준 10레벨 당 LUK : +2,0.0146%,캐릭터 기준 10레벨 당 LUK : +2,0.0146%
,,모든 스킬레벨 : +2
                                    (5차 및 일부 스킬 제외, 스킬의 마스터 레벨까지만 증가),0.0073%,모든 스킬레벨 : +2
                                    (5차 및 일부 스킬 제외, 스킬의 마스터 레벨까지만 증가),0.0073%
,,모든 속성 내성 : +5%,0.0073%,모든 속성 내성 : +5%,0.0073%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.0219%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.0219%
,,모든 스킬의 재사용 대기시간 : -1초
                                    (10초 이하는 5%감소, 5초 미만으로 감소 불가),0.0219%,모든 스킬의 재사용 대기시간 : -1초
                                    (10초 이하는 5%감소, 5초 미만으로 감소 불가),0.0219%
,,메소 획득량 : +5%,0.0219%,메소 획득량 : +5%,0.0219%
,,아이템 드롭률 : +5%,0.0219%,아이템 드롭률 : +5%,0.0219%
