옵션1,확률1,옵션2,확률2,옵션3,확률3
최대 HP : +10%,7.5000%,최대 HP : +7%,6.9420%,최대 HP : +7%,6.9420%
최대 MP : +10%,7.5000%,최대 MP : +7%,6.9420%,최대 MP : +7%,6.9420%
공격력 : +12%,5.0000%,공격력 : +9%,4.6280%,공격력 : +9%,4.6280%
마력 : +12%,5.0000%,마력 : +9%,4.6280%,마력 : +9%,4.6280%
크리티컬 확률 : +12%,5.0000%,크리티컬 확률 : +9%,4.6280%,크리티컬 확률 : +9%,4.6280%
STR : +12%,7.5000%,STR : +9%,6.9420%,STR : +9%,6.9420%
DEX : +12%,7.5000%,DEX : +9%,6.9420%,DEX : +9%,6.9420%
INT : +12%,7.5000%,INT : +9%,6.9420%,INT : +9%,6.9420%
LUK : +12%,7.5000%,LUK : +9%,6.9420%,LUK : +9%,6.9420%
데미지 : +12%,2.5000%,데미지 : +9%,2.3140%,데미지 : +9%,2.3140%
올스탯 : +9%,5.0000%,올스탯 : +6%,4.6280%,올스탯 : +6%,4.6280%
캐릭터 기준 10레벨 당 STR : +2,5.0000%,캐릭터 기준 10레벨 당 STR : +1,4.6280%,캐릭터 기준 10레벨 당 STR : +1,4.6280%
캐릭터 기준 10레벨 당 DEX : +2,5.0000%,캐릭터 기준 10레벨 당 DEX : +1,4.6280%,캐릭터 기준 10레벨 당 DEX : +1,4.6280%
캐릭터 기준 10레벨 당 INT : +2,5.0000%,캐릭터 기준 10레벨 당 INT : +1,4.6280%,캐릭터 기준 10레벨 당 INT : +1,4.6280%
캐릭터 기준 10레벨 당 LUK : +2,5.0000%,캐릭터 기준 10레벨 당 LUK : +1,4.6280%,캐릭터 기준 10레벨 당 LUK : +1,4.6280%
캐릭터 기준 10레벨 당 공격력 : +1,2.5000%,공격 시 15% 확률로 95의 HP 회복,6.9420%,공격 시 15% 확률로 95의 HP 회복,6.9420%
캐릭터 기준 10레벨 당 마력 : +1,2.5000%,공격 시 15% 확률로 95의 MP 회복,6.9420%,공격 시 15% 확률로 95의 MP 회복,6.9420%
상태 이상 내성 : +5,2.5000%,몬스터 방어율 무시 : +4%,2.3140%,몬스터 방어율 무시 : +4%,2.3140%
몬스터 방어율 무시 : +5%,2.5000%,보스 몬스터 공격 시 데미지 : +12%,2.3140%,보스 몬스터 공격 시 데미지 : +12%,2.3140%
보스 몬스터 공격 시 데미지 : +18%,2.5000%,최대 HP : +10%,0.0373%,최대 HP : +10%,0.0373%
,,최대 MP : +10%,0.0373%,최대 MP : +10%,0.0373%
,,공격력 : +12%,0.0249%,공격력 : +12%,0.0249%
,,마력 : +12%,0.0249%,마력 : +12%,0.0249%
,,크리티컬 확률 : +12%,0.0249%,크리티컬 확률 : +12%,0.0249%
,,STR : +12%,0.0373%,STR : +12%,0.0373%
,,DEX : +12%,0.0373%,DEX : +12%,0.0373%
,,INT : +12%,0.0373%,INT : +12%,0.0373%
,,LUK : +12%,0.0373%,LUK : +12%,0.0373%
,,데미지 : +12%,0.0124%,데미지 : +12%,0.0124%
,,올스탯 : +9%,0.0249%,올스탯 : +9%,0.0249%
,,캐릭터 기준 10레벨 당 STR : +2,0.0249%,캐릭터 기준 10레벨 당 STR : +2,0.0249%
,,캐릭터 기준 10레벨 당 DEX : +2,0.0249%,캐릭터 기준 10레벨 당 DEX : +2,0.0249%
,,캐릭터 기준 10레벨 당 INT : +2,0.0249%,캐릭터 기준 10레벨 당 INT : +2,0.0249%
,,캐릭터 기준 10레벨 당 LUK : +2,0.0249%,캐릭터 기준 10레벨 당 LUK : +2,0.0249%
,,캐릭터 기준 10레벨 당 공격력 : +1,0.0124%,캐릭터 기준 10레벨 당 공격력 : +1,0.0124%
,,캐릭터 기준 10레벨 당 마력 : +1,0.0124%,캐릭터 기준 10레벨 당 마력 : +1,0.0124%
,,상태 이상 내성 : +5,0.0124%,상태 이상 내성 : +5,0.0124%
,,몬스터 방어율 무시 : +5%,0.0124%,몬스터 방어율 무시 : +5%,0.0124%
,,보스 몬스터 공격 시 데미지 : +18%,0.0124%,보스 몬스터 공격 시 데미지 : +18%,0.0124%
