옵션1,확률1,옵션2,확률2,옵션3,확률3
최대 HP : +10%,7.1429%,최대 HP : +7%,6.9420%,최대 HP : +7%,6.9420%
최대 MP : +10%,7.1429%,최대 MP : +7%,6.9420%,최대 MP : +7%,6.9420%
공격력 : +12%,4.7619%,공격력 : +9%,4.6280%,공격력 : +9%,4.6280%
마력 : +12%,4.7619%,마력 : +9%,4.6280%,마력 : +9%,4.6280%
크리티컬 확률 : +12%,4.7619%,크리티컬 확률 : +9%,4.6280%,크리티컬 확률 : +9%,4.6280%
크리티컬 데미지 : +1%,2.3810%,STR : +9%,6.9420%,STR : +9%,6.9420%
크리티컬 데미지 : +1%,2.3810%,DEX : +9%,6.9420%,DEX : +9%,6.9420%
STR : +12%,7.1429%,INT : +9%,6.9420%,INT : +9%,6.9420%
DEX : +12%,7.1429%,LUK : +9%,6.9420%,LUK : +9%,6.9420%
INT : +12%,7.1429%,데미지 : +9%,2.3140%,데미지 : +9%,2.3140%
LUK : +12%,7.1429%,올스탯 : +6%,4.6280%,올스탯 : +6%,4.6280%
데미지 : +12%,2.3810%,캐릭터 기준 10레벨 당 STR : +1,4.6280%,캐릭터 기준 10레벨 당 STR : +1,4.6280%
올스탯 : +9%,4.7619%,캐릭터 기준 10레벨 당 DEX : +1,4.6280%,캐릭터 기준 10레벨 당 DEX : +1,4.6280%
캐릭터 기준 10레벨 당 STR : +2,4.7619%,캐릭터 기준 10레벨 당 INT : +1,4.6280%,캐릭터 기준 10레벨 당 INT : +1,4.6280%
캐릭터 기준 10레벨 당 DEX : +2,4.7619%,캐릭터 기준 10레벨 당 LUK : +1,4.6280%,캐릭터 기준 10레벨 당 LUK : +1,4.6280%
캐릭터 기준 10레벨 당 INT : +2,4.7619%,공격 시 15% 확률로 95의 HP 회복,6.9420%,공격 시 15% 확률로 95의 HP 회복,6.9420%
캐릭터 기준 10레벨 당 LUK : +2,4.7619%,공격 시 15% 확률로 95의 MP 회복,6.9420%,공격 시 15% 확률로 95의 MP 회복,6.9420%
캐릭터 기준 10레벨 당 공격력 : +1,2.3810%,몬스터 방어율 무시 : +4%,2.3140%,몬스터 방어율 무시 : +4%,2.3140%
캐릭터 기준 10레벨 당 마력 : +1,2.3810%,보스 몬스터 공격 시 데미지 : +12%,2.3140%,보스 몬스터 공격 시 데미지 : +12%,2.3140%
상태 이상 내성 : +5,2.3810%,최대 HP : +10%,0.0355%,최대 HP : +10%,0.0355%
몬스터 방어율 무시 : +5%,2.3810%,최대 MP : +10%,0.0355%,최대 MP : +10%,0.0355%
보스 몬스터 공격 시 데미지 : +18%,2.3810%,공격력 : +12%,0.0237%,공격력 : +12%,0.0237%
,,마력 : +12%,0.0237%,마력 : +12%,0.0237%
,,크리티컬 확률 : +12%,0.0237%,크리티컬 확률 : +12%,0.0237%
,,크리티컬 데미지 : +1%,0.0118%,크리티컬 데미지 : +1%,0.0118%
,,크리티컬 데미지 : +1%,0.0118%,크리티컬 데미지 : +1%,0.0118%
,,STR : +12%,0.0355%,STR : +12%,0.0355%
,,DEX : +12%,0.0355%,DEX : +12%,0.0355%
,,INT : +12%,0.0355%,INT : +12%,0.0355%
,,LUK : +12%,0.0355%,LUK : +12%,0.0355%
,,데미지 : +12%,0.0118%,데미지 : +12%,0.0118%
,,올스탯 : +9%,0.0237%,올스탯 : +9%,0.0237%
,,캐릭터 기준 10레벨 당 STR : +2,0.0237%,캐릭터 기준 10레벨 당 STR : +2,0.0237%
,,캐릭터 기준 10레벨 당 DEX : +2,0.0237%,캐릭터 기준 10레벨 당 DEX : +2,0.0237%
,,캐릭터 기준 10레벨 당 INT : +2,0.0237%,캐릭터 기준 10레벨 당 INT : +2,0.0237%
,,캐릭터 기준 10레벨 당 LUK : +2,0.0237%,캐릭터 기준 10레벨 당 LUK : +2,0.0237%
,,캐릭터 기준 10레벨 당 공격력 : +1,0.0118%,캐릭터 기준 10레벨 당 공격력 : +1,0.0118%
,,캐릭터 기준 10레벨 당 마력 : +1,0.0118%,캐릭터 기준 10레벨 당 마력 : +1,0.0118%
,,상태 이상 내성 : +5,0.0118%,상태 이상 내성 : +5,0.0118%
,,몬스터 방어율 무시 : +5%,0.0118%,몬스터 방어율 무시 : +5%,0.0118%
,,보스 몬스터 공격 시 데미지 : +18%,0.0118%,보스 몬스터 공격 시 데미지 : +18%,0.0118%
