옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +18,4.6154%,STR : +16,5.3305%,STR : +16,5.3305%
DEX : +18,4.6154%,DEX : +16,5.3305%,DEX : +16,5.3305%
INT : +18,4.6154%,INT : +16,5.3305%,INT : +16,5.3305%
LUK : +18,4.6154%,LUK : +16,5.3305%,LUK : +16,5.3305%
최대 HP : +300,4.6154%,최대 HP : +240,5.3305%,최대 HP : +240,5.3305%
최대 MP : +300,4.6154%,최대 MP : +240,5.3305%,최대 MP : +240,5.3305%
공격력 : +14,3.0769%,공격력 : +12,3.5537%,공격력 : +12,3.5537%
마력 : +14,3.0769%,마력 : +12,3.5537%,마력 : +12,3.5537%
방어력 : +200,4.6154%,방어력 : +150,5.3305%,방어력 : +150,5.3305%
STR : +7%,3.0769%,STR : +5%,3.5537%,STR : +5%,3.5537%
DEX : +7%,3.0769%,DEX : +5%,3.5537%,DEX : +5%,3.5537%
INT : +7%,3.0769%,INT : +5%,3.5537%,INT : +5%,3.5537%
LUK : +7%,3.0769%,LUK : +5%,3.5537%,LUK : +5%,3.5537%
최대 HP : +10%,4.6154%,최대 HP : +7%,5.3305%,최대 HP : +7%,5.3305%
최대 MP : +10%,4.6154%,최대 MP : +7%,5.3305%,최대 MP : +7%,5.3305%
방어력 : +10%,4.6154%,방어력 : +7%,5.3305%,방어력 : +7%,5.3305%
올스탯 : +5%,3.0769%,올스탯 : +4%,3.5537%,올스탯 : +4%,3.5537%
캐릭터 기준 10레벨 당 STR : +2,3.0769%,캐릭터 기준 10레벨 당 STR : +1,3.5537%,캐릭터 기준 10레벨 당 STR : +1,3.5537%
캐릭터 기준 10레벨 당 DEX : +2,3.0769%,캐릭터 기준 10레벨 당 DEX : +1,3.5537%,캐릭터 기준 10레벨 당 DEX : +1,3.5537%
캐릭터 기준 10레벨 당 INT : +2,3.0769%,캐릭터 기준 10레벨 당 INT : +1,3.5537%,캐릭터 기준 10레벨 당 INT : +1,3.5537%
캐릭터 기준 10레벨 당 LUK : +2,3.0769%,캐릭터 기준 10레벨 당 LUK : +1,3.5537%,캐릭터 기준 10레벨 당 LUK : +1,3.5537%
모든 속성 내성 : +5%,1.5385%,모든 속성 내성 : +4%,1.7768%,모든 속성 내성 : +4%,1.7768%
모든 스킬의 MP 소모 : -10%,4.6154%,HP 회복 아이템 및 회복 스킬 효율 : +20%,5.3305%,HP 회복 아이템 및 회복 스킬 효율 : +20%,5.3305%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,4.6154%,STR : +18,0.0230%,STR : +18,0.0230%
메소 획득량 : +5%,4.6154%,DEX : +18,0.0230%,DEX : +18,0.0230%
아이템 드롭률 : +5%,4.6154%,INT : +18,0.0230%,INT : +18,0.0230%
,,LUK : +18,0.0230%,LUK : +18,0.0230%
,,최대 HP : +300,0.0230%,최대 HP : +300,0.0230%
,,최대 MP : +300,0.0230%,최대 MP : +300,0.0230%
,,공격력 : +14,0.0153%,공격력 : +14,0.0153%
,,마력 : +14,0.0153%,마력 : +14,0.0153%
,,방어력 : +200,0.0230%,방어력 : +200,0.0230%
,,STR : +7%,0.0153%,STR : +7%,0.0153%
,,DEX : +7%,0.0153%,DEX : +7%,0.0153%
,,INT : +7%,0.0153%,INT : +7%,0.0153%
,,LUK : +7%,0.0153%,LUK : +7%,0.0153%
,,최대 HP : +10%,0.0230%,최대 HP : +10%,0.0230%
,,최대 MP : +10%,0.0230%,최대 MP : +10%,0.0230%
,,방어력 : +10%,0.0230%,방어력 : +10%,0.0230%
,,올스탯 : +5%,0.0153%,올스탯 : +5%,0.0153%
,,캐릭터 기준 10레벨 당 STR : +2,0.0153%,캐릭터 기준 10레벨 당 STR : +2,0.0153%
,,캐릭터 기준 10레벨 당 DEX : +2,0.0153%,캐릭터 기준 10레벨 당 DEX : +2,0.0153%
,,캐릭터 기준 10레벨 당 INT : +2,0.0153%,캐릭터 기준 10레벨 당 INT : +2,0.0153%
,,캐릭터 기준 10레벨 당 LUK : +2,0.0153%,캐릭터 기준 10레벨 당 LUK : +2,0.0153%
,,모든 속성 내성 : +5%,0.0077%,모든 속성 내성 : +5%,0.0077%
,,모든 스킬의 MP 소모 : -10%,0.0230%,모든 스킬의 MP 소모 : -10%,0.0230%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.0230%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.0230%
,,메소 획득량 : +5%,0.0230%,메소 획득량 : +5%,0.0230%
,,아이템 드롭률 : +5%,0.0230%,아이템 드롭률 : +5%,0.0230%
