옵션1,확률1,옵션2,확률2,옵션3,확률3
최대 HP : +10%,7.6923%,최대 HP : +7%,7.1073%,최대 HP : +7%,7.1073%
최대 MP : +10%,7.6923%,최대 MP : +7%,7.1073%,최대 MP : +7%,7.1073%
공격력 : +12%,5.1282%,공격력 : +9%,4.7382%,공격력 : +9%,4.7382%
마력 : +12%,5.1282%,마력 : +9%,4.7382%,마력 : +9%,4.7382%
크리티컬 확률 : +12%,5.1282%,크리티컬 확률 : +9%,4.7382%,크리티컬 확률 : +9%,4.7382%
STR : +12%,7.6923%,STR : +9%,7.1073%,STR : +9%,7.1073%
DEX : +12%,7.6923%,DEX : +9%,7.1073%,DEX : +9%,7.1073%
INT : +12%,7.6923%,INT : +9%,7.1073%,INT : +9%,7.1073%
LUK : +12%,7.6923%,LUK : +9%,7.1073%,LUK : +9%,7.1073%
데미지 : +12%,2.5641%,데미지 : +9%,2.3691%,데미지 : +9%,2.3691%
올스탯 : +9%,5.1282%,올스탯 : +6%,4.7382%,올스탯 : +6%,4.7382%
캐릭터 기준 10레벨 당 STR : +2,5.1282%,캐릭터 기준 10레벨 당 STR : +1,4.7382%,캐릭터 기준 10레벨 당 STR : +1,4.7382%
캐릭터 기준 10레벨 당 DEX : +2,5.1282%,캐릭터 기준 10레벨 당 DEX : +1,4.7382%,캐릭터 기준 10레벨 당 DEX : +1,4.7382%
캐릭터 기준 10레벨 당 INT : +2,5.1282%,캐릭터 기준 10레벨 당 INT : +1,4.7382%,캐릭터 기준 10레벨 당 INT : +1,4.7382%
캐릭터 기준 10레벨 당 LUK : +2,5.1282%,캐릭터 기준 10레벨 당 LUK : +1,4.7382%,캐릭터 기준 10레벨 당 LUK : +1,4.7382%
캐릭터 기준 10레벨 당 공격력 : +1,2.5641%,공격 시 15% 확률로 85의 HP 회복,7.1073%,공격 시 15% 확률로 85의 HP 회복,7.1073%
캐릭터 기준 10레벨 당 마력 : +1,2.5641%,공격 시 15% 확률로 85의 MP 회복,7.1073%,공격 시 15% 확률로 85의 MP 회복,7.1073%
상태 이상 내성 : +5,2.5641%,몬스터 방어율 무시 : +4%,2.3691%,몬스터 방어율 무시 : +4%,2.3691%
몬스터 방어율 무시 : +5%,2.5641%,최대 HP : +10%,0.0383%,최대 HP : +10%,0.0383%
,,최대 MP : +10%,0.0383%,최대 MP : +10%,0.0383%
,,공격력 : +12%,0.0255%,공격력 : +12%,0.0255%
,,마력 : +12%,0.0255%,마력 : +12%,0.0255%
,,크리티컬 확률 : +12%,0.0255%,크리티컬 확률 : +12%,0.0255%
,,STR : +12%,0.0383%,STR : +12%,0.0383%
,,DEX : +12%,0.0383%,DEX : +12%,0.0383%
,,INT : +12%,0.0383%,INT : +12%,0.0383%
,,LUK : +12%,0.0383%,LUK : +12%,0.0383%
,,데미지 : +12%,0.0128%,데미지 : +12%,0.0128%
,,올스탯 : +9%,0.0255%,올스탯 : +9%,0.0255%
,,캐릭터 기준 10레벨 당 STR : +2,0.0255%,캐릭터 기준 10레벨 당 STR : +2,0.0255%
,,캐릭터 기준 10레벨 당 DEX : +2,0.0255%,캐릭터 기준 10레벨 당 DEX : +2,0.0255%
,,캐릭터 기준 10레벨 당 INT : +2,0.0255%,캐릭터 기준 10레벨 당 INT : +2,0.0255%
,,캐릭터 기준 10레벨 당 LUK : +2,0.0255%,캐릭터 기준 10레벨 당 LUK : +2,0.0255%
,,캐릭터 기준 10레벨 당 공격력 : +1,0.0128%,캐릭터 기준 10레벨 당 공격력 : +1,0.0128%
,,캐릭터 기준 10레벨 당 마력 : +1,0.0128%,캐릭터 기준 10레벨 당 마력 : +1,0.0128%
,,상태 이상 내성 : +5,0.0128%,상태 이상 내성 : +5,0.0128%
,,몬스터 방어율 무시 : +5%,0.0128%,몬스터 방어율 무시 : +5%,0.0128%
