옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +14,6.0000%,STR : +10,6.0790%,STR : +10,6.0790%
DEX : +14,6.0000%,DEX : +10,6.0790%,DEX : +10,6.0790%
INT : +14,6.0000%,INT : +10,6.0790%,INT : +10,6.0790%
LUK : +14,6.0000%,LUK : +10,6.0790%,LUK : +10,6.0790%
최대 HP : +180,6.0000%,최대 HP : +100,6.0790%,최대 HP : +100,6.0790%
최대 MP : +180,6.0000%,최대 MP : +100,6.0790%,최대 MP : +100,6.0790%
이동속도 : +8,6.0000%,이동속도 : +6,6.0790%,이동속도 : +6,6.0790%
점프력 : +8,6.0000%,점프력 : +6,6.0790%,점프력 : +6,6.0790%
공격력 : +11,4.0000%,공격력 : +10,4.0527%,공격력 : +10,4.0527%
마력 : +11,4.0000%,마력 : +10,4.0527%,마력 : +10,4.0527%
방어력 : +120,6.0000%,방어력 : +100,6.0790%,방어력 : +100,6.0790%
STR : +4%,4.0000%,STR : +2%,4.0527%,STR : +2%,4.0527%
DEX : +4%,4.0000%,DEX : +2%,4.0527%,DEX : +2%,4.0527%
INT : +4%,4.0000%,INT : +2%,4.0527%,INT : +2%,4.0527%
LUK : +4%,4.0000%,LUK : +2%,4.0527%,LUK : +2%,4.0527%
최대 HP : +5%,6.0000%,최대 HP : +2%,4.0527%,최대 HP : +2%,4.0527%
최대 MP : +5%,6.0000%,최대 MP : +2%,4.0527%,최대 MP : +2%,4.0527%
방어력 : +4%,6.0000%,방어력 : +2%,4.0527%,방어력 : +2%,4.0527%
올스탯 : +2%,4.0000%,올스탯 : +3,4.0527%,올스탯 : +3,4.0527%
,,STR : +14,0.2857%,STR : +14,0.2857%
,,DEX : +14,0.2857%,DEX : +14,0.2857%
,,INT : +14,0.2857%,INT : +14,0.2857%
,,LUK : +14,0.2857%,LUK : +14,0.2857%
,,최대 HP : +180,0.2857%,최대 HP : +180,0.2857%
,,최대 MP : +180,0.2857%,최대 MP : +180,0.2857%
,,이동속도 : +8,0.2857%,이동속도 : +8,0.2857%
,,점프력 : +8,0.2857%,점프력 : +8,0.2857%
,,공격력 : +11,0.1905%,공격력 : +11,0.1905%
,,마력 : +11,0.1905%,마력 : +11,0.1905%
,,방어력 : +120,0.2857%,방어력 : +120,0.2857%
,,STR : +4%,0.1905%,STR : +4%,0.1905%
,,DEX : +4%,0.1905%,DEX : +4%,0.1905%
,,INT : +4%,0.1905%,INT : +4%,0.1905%
,,LUK : +4%,0.1905%,LUK : +4%,0.1905%
,,최대 HP : +5%,0.2857%,최대 HP : +5%,0.2857%
,,최대 MP : +5%,0.2857%,최대 MP : +5%,0.2857%
,,방어력 : +4%,0.2857%,방어력 : +4%,0.2857%
,,올스탯 : +2%,0.1905%,올스탯 : +2%,0.1905%
