옵션1,확률1,옵션2,확률2,옵션3,확률3
최대 HP : +5%,8.8235%,최대 HP : +100,5.6022%,최대 HP : +100,5.6022%
최대 MP : +5%,8.8235%,최대 MP : +100,5.6022%,최대 MP : +100,5.6022%
공격력 : +6%,5.8824%,이동속도 : +5,5.6022%,이동속도 : +5,5.6022%
마력 : +6%,5.8824%,점프력 : +5,5.6022%,점프력 : +5,5.6022%
크리티컬 확률 : +6%,2.9412%,방어력 : +100,5.6022%,방어력 : +100,5.6022%
STR : +6%,8.8235%,STR : +12,5.6022%,STR : +12,5.6022%
DEX : +6%,8.8235%,DEX : +12,5.6022%,DEX : +12,5.6022%
INT : +6%,8.8235%,INT : +12,5.6022%,INT : +12,5.6022%
LUK : +6%,8.8235%,LUK : +12,5.6022%,LUK : +12,5.6022%
데미지 : +6%,2.9412%,공격력 : +12,3.7348%,공격력 : +12,3.7348%
올스탯 : +3%,5.8824%,마력 : +12,3.7348%,마력 : +12,3.7348%
공격 시 3% 확률로 47의 HP 회복,8.8235%,최대 HP : +2%,3.7348%,최대 HP : +2%,3.7348%
공격 시 3% 확률로 47의 MP 회복,8.8235%,최대 MP : +2%,3.7348%,최대 MP : +2%,3.7348%
몬스터 방어율 무시 : +3%,5.8824%,STR : +3%,3.7348%,STR : +3%,3.7348%
,,DEX : +3%,3.7348%,DEX : +3%,3.7348%
,,INT : +3%,3.7348%,INT : +3%,3.7348%
,,LUK : +3%,3.7348%,LUK : +3%,3.7348%
,,공격력 : +3%,1.8674%,공격력 : +3%,1.8674%
,,마력 : +3%,1.8674%,마력 : +3%,1.8674%
,,크리티컬 확률 : +3%,3.7348%,크리티컬 확률 : +3%,3.7348%
,,데미지 : +3%,1.8674%,데미지 : +3%,1.8674%
,,올스탯 : +5,5.6022%,올스탯 : +5,5.6022%
,,최대 HP : +5%,0.4202%,최대 HP : +5%,0.4202%
,,최대 MP : +5%,0.4202%,최대 MP : +5%,0.4202%
,,공격력 : +6%,0.2801%,공격력 : +6%,0.2801%
,,마력 : +6%,0.2801%,마력 : +6%,0.2801%
,,크리티컬 확률 : +6%,0.1401%,크리티컬 확률 : +6%,0.1401%
,,STR : +6%,0.4202%,STR : +6%,0.4202%
,,DEX : +6%,0.4202%,DEX : +6%,0.4202%
,,INT : +6%,0.4202%,INT : +6%,0.4202%
,,LUK : +6%,0.4202%,LUK : +6%,0.4202%
,,데미지 : +6%,0.1401%,데미지 : +6%,0.1401%
,,올스탯 : +3%,0.2801%,올스탯 : +3%,0.2801%
,,공격 시 3% 확률로 47의 HP 회복,0.4202%,공격 시 3% 확률로 47의 HP 회복,0.4202%
,,공격 시 3% 확률로 47의 MP 회복,0.4202%,공격 시 3% 확률로 47의 MP 회복,0.4202%
,,몬스터 방어율 무시 : +3%,0.2801%,몬스터 방어율 무시 : +3%,0.2801%
