옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +16,5.3571%,STR : +14,5.8824%,STR : +14,5.8824%
DEX : +16,5.3571%,DEX : +14,5.8824%,DEX : +14,5.8824%
INT : +16,5.3571%,INT : +14,5.8824%,INT : +14,5.8824%
LUK : +16,5.3571%,LUK : +14,5.8824%,LUK : +14,5.8824%
최대 HP : +240,5.3571%,최대 HP : +180,5.8824%,최대 HP : +180,5.8824%
최대 MP : +240,5.3571%,최대 MP : +180,5.8824%,최대 MP : +180,5.8824%
공격력 : +12,3.5714%,이동속도 : +8,5.8824%,이동속도 : +8,5.8824%
마력 : +12,3.5714%,점프력 : +8,5.8824%,점프력 : +8,5.8824%
방어력 : +150,5.3571%,공격력 : +11,3.9216%,공격력 : +11,3.9216%
STR : +5%,3.5714%,마력 : +11,3.9216%,마력 : +11,3.9216%
DEX : +5%,3.5714%,방어력 : +120,5.8824%,방어력 : +120,5.8824%
INT : +5%,3.5714%,STR : +4%,3.9216%,STR : +4%,3.9216%
LUK : +5%,3.5714%,DEX : +4%,3.9216%,DEX : +4%,3.9216%
최대 HP : +7%,5.3571%,INT : +4%,3.9216%,INT : +4%,3.9216%
최대 MP : +7%,5.3571%,LUK : +4%,3.9216%,LUK : +4%,3.9216%
방어력 : +7%,5.3571%,최대 HP : +5%,5.8824%,최대 HP : +5%,5.8824%
올스탯 : +4%,3.5714%,최대 MP : +5%,5.8824%,최대 MP : +5%,5.8824%
캐릭터 기준 10레벨 당 STR : +1,3.5714%,방어력 : +4%,5.8824%,방어력 : +4%,5.8824%
캐릭터 기준 10레벨 당 DEX : +1,3.5714%,올스탯 : +2%,3.9216%,올스탯 : +2%,3.9216%
캐릭터 기준 10레벨 당 INT : +1,3.5714%,STR : +16,0.1050%,STR : +16,0.1050%
캐릭터 기준 10레벨 당 LUK : +1,3.5714%,DEX : +16,0.1050%,DEX : +16,0.1050%
모든 속성 내성 : +4%,1.7857%,INT : +16,0.1050%,INT : +16,0.1050%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +20%,5.3571%,LUK : +16,0.1050%,LUK : +16,0.1050%
,,최대 HP : +240,0.1050%,최대 HP : +240,0.1050%
,,최대 MP : +240,0.1050%,최대 MP : +240,0.1050%
,,공격력 : +12,0.0700%,공격력 : +12,0.0700%
,,마력 : +12,0.0700%,마력 : +12,0.0700%
,,방어력 : +150,0.1050%,방어력 : +150,0.1050%
,,STR : +5%,0.0700%,STR : +5%,0.0700%
,,DEX : +5%,0.0700%,DEX : +5%,0.0700%
,,INT : +5%,0.0700%,INT : +5%,0.0700%
,,LUK : +5%,0.0700%,LUK : +5%,0.0700%
,,최대 HP : +7%,0.1050%,최대 HP : +7%,0.1050%
,,최대 MP : +7%,0.1050%,최대 MP : +7%,0.1050%
,,방어력 : +7%,0.1050%,방어력 : +7%,0.1050%
,,올스탯 : +4%,0.0700%,올스탯 : +4%,0.0700%
,,캐릭터 기준 10레벨 당 STR : +1,0.0700%,캐릭터 기준 10레벨 당 STR : +1,0.0700%
,,캐릭터 기준 10레벨 당 DEX : +1,0.0700%,캐릭터 기준 10레벨 당 DEX : +1,0.0700%
,,캐릭터 기준 10레벨 당 INT : +1,0.0700%,캐릭터 기준 10레벨 당 INT : +1,0.0700%
,,캐릭터 기준 10레벨 당 LUK : +1,0.0700%,캐릭터 기준 10레벨 당 LUK : +1,0.0700%
,,모든 속성 내성 : +4%,0.0350%,모든 속성 내성 : +4%,0.0350%
,,HP 회복 아이템 및 회복 스킬 효율 : +20%,0.1050%,HP 회복 아이템 및 회복 스킬 효율 : +20%,0.1050%
