옵션1,확률1,옵션2,확률2,옵션3,확률3
최대 HP : +7%,6.9767%,최대 HP : +5%,8.6505%,최대 HP : +5%,8.6505%
최대 MP : +7%,6.9767%,최대 MP : +5%,8.6505%,최대 MP : +5%,8.6505%
공격력 : +9%,4.6512%,공격력 : +6%,5.7670%,공격력 : +6%,5.7670%
마력 : +9%,4.6512%,마력 : +6%,5.7670%,마력 : +6%,5.7670%
크리티컬 확률 : +9%,4.6512%,크리티컬 확률 : +6%,2.8835%,크리티컬 확률 : +6%,2.8835%
STR : +9%,6.9767%,STR : +6%,8.6505%,STR : +6%,8.6505%
DEX : +9%,6.9767%,DEX : +6%,8.6505%,DEX : +6%,8.6505%
INT : +9%,6.9767%,INT : +6%,8.6505%,INT : +6%,8.6505%
LUK : +9%,6.9767%,LUK : +6%,8.6505%,LUK : +6%,8.6505%
데미지 : +9%,2.3256%,데미지 : +6%,2.8835%,데미지 : +6%,2.8835%
올스탯 : +6%,4.6512%,올스탯 : +3%,5.7670%,올스탯 : +3%,5.7670%
캐릭터 기준 10레벨 당 STR : +1,4.6512%,공격 시 3% 확률로 47의 HP 회복,8.6505%,공격 시 3% 확률로 47의 HP 회복,8.6505%
캐릭터 기준 10레벨 당 DEX : +1,4.6512%,공격 시 3% 확률로 47의 MP 회복,8.6505%,공격 시 3% 확률로 47의 MP 회복,8.6505%
캐릭터 기준 10레벨 당 INT : +1,4.6512%,몬스터 방어율 무시 : +3%,5.7670%,몬스터 방어율 무시 : +3%,5.7670%
캐릭터 기준 10레벨 당 LUK : +1,4.6512%,최대 HP : +7%,0.1368%,최대 HP : +7%,0.1368%
공격 시 15% 확률로 85의 HP 회복,6.9767%,최대 MP : +7%,0.1368%,최대 MP : +7%,0.1368%
공격 시 15% 확률로 85의 MP 회복,6.9767%,공격력 : +9%,0.0912%,공격력 : +9%,0.0912%
몬스터 방어율 무시 : +4%,2.3256%,마력 : +9%,0.0912%,마력 : +9%,0.0912%
보스 몬스터 공격 시 데미지 : +12%,2.3256%,크리티컬 확률 : +9%,0.0912%,크리티컬 확률 : +9%,0.0912%
,,STR : +9%,0.1368%,STR : +9%,0.1368%
,,DEX : +9%,0.1368%,DEX : +9%,0.1368%
,,INT : +9%,0.1368%,INT : +9%,0.1368%
,,LUK : +9%,0.1368%,LUK : +9%,0.1368%
,,데미지 : +9%,0.0456%,데미지 : +9%,0.0456%
,,올스탯 : +6%,0.0912%,올스탯 : +6%,0.0912%
,,캐릭터 기준 10레벨 당 STR : +1,0.0912%,캐릭터 기준 10레벨 당 STR : +1,0.0912%
,,캐릭터 기준 10레벨 당 DEX : +1,0.0912%,캐릭터 기준 10레벨 당 DEX : +1,0.0912%
,,캐릭터 기준 10레벨 당 INT : +1,0.0912%,캐릭터 기준 10레벨 당 INT : +1,0.0912%
,,캐릭터 기준 10레벨 당 LUK : +1,0.0912%,캐릭터 기준 10레벨 당 LUK : +1,0.0912%
,,공격 시 15% 확률로 85의 HP 회복,0.1368%,공격 시 15% 확률로 85의 HP 회복,0.1368%
,,공격 시 15% 확률로 85의 MP 회복,0.1368%,공격 시 15% 확률로 85의 MP 회복,0.1368%
,,몬스터 방어율 무시 : +4%,0.0456%,몬스터 방어율 무시 : +4%,0.0456%
,,보스 몬스터 공격 시 데미지 : +12%,0.0456%,보스 몬스터 공격 시 데미지 : +12%,0.0456%
