옵션1,확률1,옵션2,확률2,옵션3,확률3
최대 HP : +7%,7.1429%,최대 HP : +5%,8.6505%,최대 HP : +5%,8.6505%
최대 MP : +7%,7.1429%,최대 MP : +5%,8.6505%,최대 MP : +5%,8.6505%
공격력 : +9%,4.7619%,공격력 : +6%,5.7670%,공격력 : +6%,5.7670%
마력 : +9%,4.7619%,마력 : +6%,5.7670%,마력 : +6%,5.7670%
크리티컬 확률 : +9%,4.7619%,크리티컬 확률 : +6%,2.8835%,크리티컬 확률 : +6%,2.8835%
STR : +9%,7.1429%,STR : +6%,8.6505%,STR : +6%,8.6505%
DEX : +9%,7.1429%,DEX : +6%,8.6505%,DEX : +6%,8.6505%
INT : +9%,7.1429%,INT : +6%,8.6505%,INT : +6%,8.6505%
LUK : +9%,7.1429%,LUK : +6%,8.6505%,LUK : +6%,8.6505%
데미지 : +9%,2.3810%,데미지 : +6%,2.8835%,데미지 : +6%,2.8835%
올스탯 : +6%,4.7619%,올스탯 : +3%,5.7670%,올스탯 : +3%,5.7670%
캐릭터 기준 10레벨 당 STR : +1,4.7619%,공격 시 3% 확률로 47의 HP 회복,8.6505%,공격 시 3% 확률로 47의 HP 회복,8.6505%
캐릭터 기준 10레벨 당 DEX : +1,4.7619%,공격 시 3% 확률로 47의 MP 회복,8.6505%,공격 시 3% 확률로 47의 MP 회복,8.6505%
캐릭터 기준 10레벨 당 INT : +1,4.7619%,몬스터 방어율 무시 : +3%,5.7670%,몬스터 방어율 무시 : +3%,5.7670%
캐릭터 기준 10레벨 당 LUK : +1,4.7619%,최대 HP : +7%,0.1401%,최대 HP : +7%,0.1401%
공격 시 15% 확률로 85의 HP 회복,7.1429%,최대 MP : +7%,0.1401%,최대 MP : +7%,0.1401%
공격 시 15% 확률로 85의 MP 회복,7.1429%,공격력 : +9%,0.0934%,공격력 : +9%,0.0934%
몬스터 방어율 무시 : +4%,2.3810%,마력 : +9%,0.0934%,마력 : +9%,0.0934%
,,크리티컬 확률 : +9%,0.0934%,크리티컬 확률 : +9%,0.0934%
,,STR : +9%,0.1401%,STR : +9%,0.1401%
,,DEX : +9%,0.1401%,DEX : +9%,0.1401%
,,INT : +9%,0.1401%,INT : +9%,0.1401%
,,LUK : +9%,0.1401%,LUK : +9%,0.1401%
,,데미지 : +9%,0.0467%,데미지 : +9%,0.0467%
,,올스탯 : +6%,0.0934%,올스탯 : +6%,0.0934%
,,캐릭터 기준 10레벨 당 STR : +1,0.0934%,캐릭터 기준 10레벨 당 STR : +1,0.0934%
,,캐릭터 기준 10레벨 당 DEX : +1,0.0934%,캐릭터 기준 10레벨 당 DEX : +1,0.0934%
,,캐릭터 기준 10레벨 당 INT : +1,0.0934%,캐릭터 기준 10레벨 당 INT : +1,0.0934%
,,캐릭터 기준 10레벨 당 LUK : +1,0.0934%,캐릭터 기준 10레벨 당 LUK : +1,0.0934%
,,공격 시 15% 확률로 85의 HP 회복,0.1401%,공격 시 15% 확률로 85의 HP 회복,0.1401%
,,공격 시 15% 확률로 85의 MP 회복,0.1401%,공격 시 15% 확률로 85의 MP 회복,0.1401%
,,몬스터 방어율 무시 : +4%,0.0467%,몬스터 방어율 무시 : +4%,0.0467%
