옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12,7.5000%,STR : +6,11.4286%,STR : +6,13.5714%
DEX : +12,7.5000%,DEX : +6,11.4286%,DEX : +6,13.5714%
INT : +12,7.5000%,INT : +6,11.4286%,INT : +6,13.5714%
LUK : +12,7.5000%,LUK : +6,11.4286%,LUK : +6,13.5714%
최대 HP : +120,7.5000%,최대 HP : +60,11.4286%,최대 HP : +60,13.5714%
최대 MP : +120,7.5000%,최대 MP : +60,11.4286%,최대 MP : +60,13.5714%
방어력 : +120,5.0000%,방어력 : +60,11.4286%,방어력 : +60,13.5714%
STR : +3%,7.5000%,STR : +12,1.5000%,STR : +12,0.3750%
DEX : +3%,7.5000%,DEX : +12,1.5000%,DEX : +12,0.3750%
INT : +3%,7.5000%,INT : +12,1.5000%,INT : +12,0.3750%
LUK : +3%,7.5000%,LUK : +12,1.5000%,LUK : +12,0.3750%
최대 HP : +3%,5.0000%,최대 HP : +120,1.5000%,최대 HP : +120,0.3750%
최대 MP : +3%,5.0000%,최대 MP : +120,1.5000%,최대 MP : +120,0.3750%
방어력 : +3%,5.0000%,방어력 : +120,1.0000%,방어력 : +120,0.2500%
올스탯 : +5,5.0000%,STR : +3%,1.5000%,STR : +3%,0.3750%
,,DEX : +3%,1.5000%,DEX : +3%,0.3750%
,,INT : +3%,1.5000%,INT : +3%,0.3750%
,,LUK : +3%,1.5000%,LUK : +3%,0.3750%
,,최대 HP : +3%,1.0000%,최대 HP : +3%,0.2500%
,,최대 MP : +3%,1.0000%,최대 MP : +3%,0.2500%
,,방어력 : +3%,1.0000%,방어력 : +3%,0.2500%
,,올스탯 : +5,1.0000%,올스탯 : +5,0.2500%
