옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12,6.1224%,STR : +6,10.9091%,STR : +6,12.9545%
DEX : +12,6.1224%,DEX : +6,10.9091%,DEX : +6,12.9545%
INT : +12,6.1224%,INT : +6,10.9091%,INT : +6,12.9545%
LUK : +12,6.1224%,LUK : +6,10.9091%,LUK : +6,12.9545%
최대 HP : +120,6.1224%,최대 HP : +60,10.9091%,최대 HP : +60,12.9545%
최대 MP : +120,6.1224%,최대 MP : +60,10.9091%,최대 MP : +60,12.9545%
공격력 : +12,4.0816%,공격력 : +6,7.2727%,공격력 : +6,8.6364%
마력 : +12,4.0816%,마력 : +6,7.2727%,마력 : +6,8.6364%
STR : +3%,6.1224%,STR : +12,1.2245%,STR : +12,0.3061%
DEX : +3%,6.1224%,DEX : +12,1.2245%,DEX : +12,0.3061%
INT : +3%,6.1224%,INT : +12,1.2245%,INT : +12,0.3061%
LUK : +3%,6.1224%,LUK : +12,1.2245%,LUK : +12,0.3061%
공격력 : +3%,2.0408%,최대 HP : +120,1.2245%,최대 HP : +120,0.3061%
마력 : +3%,2.0408%,최대 MP : +120,1.2245%,최대 MP : +120,0.3061%
크리티컬 확률 : +4%,2.0408%,공격력 : +12,0.8163%,공격력 : +12,0.2041%
데미지 : +3%,2.0408%,마력 : +12,0.8163%,마력 : +12,0.2041%
올스탯 : +5,4.0816%,STR : +3%,1.2245%,STR : +3%,0.3061%
공격 시 20% 확률로 240의 HP 회복,2.0408%,DEX : +3%,1.2245%,DEX : +3%,0.3061%
공격 시 20% 확률로 120의 MP 회복,2.0408%,INT : +3%,1.2245%,INT : +3%,0.3061%
공격 시 20% 확률로 6레벨 중독효과 적용,2.0408%,LUK : +3%,1.2245%,LUK : +3%,0.3061%
공격 시 10% 확률로 2레벨 기절효과 적용,2.0408%,공격력 : +3%,0.4082%,공격력 : +3%,0.1020%
공격 시 20% 확률로 2레벨 슬로우효과 적용,2.0408%,마력 : +3%,0.4082%,마력 : +3%,0.1020%
공격 시 20% 확률로 3레벨 암흑효과 적용,2.0408%,크리티컬 확률 : +4%,0.4082%,크리티컬 확률 : +4%,0.1020%
공격 시 10% 확률로 2레벨 빙결효과 적용,2.0408%,데미지 : +3%,0.4082%,데미지 : +3%,0.1020%
공격 시 10% 확률로 2레벨 봉인효과 적용,2.0408%,올스탯 : +5,0.8163%,올스탯 : +5,0.2041%
몬스터 방어율 무시 : +15%,2.0408%,공격 시 20% 확률로 240의 HP 회복,0.4082%,공격 시 20% 확률로 240의 HP 회복,0.1020%
,,공격 시 20% 확률로 120의 MP 회복,0.4082%,공격 시 20% 확률로 120의 MP 회복,0.1020%
,,공격 시 20% 확률로 6레벨 중독효과 적용,0.4082%,공격 시 20% 확률로 6레벨 중독효과 적용,0.1020%
,,공격 시 10% 확률로 2레벨 기절효과 적용,0.4082%,공격 시 10% 확률로 2레벨 기절효과 적용,0.1020%
,,공격 시 20% 확률로 2레벨 슬로우효과 적용,0.4082%,공격 시 20% 확률로 2레벨 슬로우효과 적용,0.1020%
,,공격 시 20% 확률로 3레벨 암흑효과 적용,0.4082%,공격 시 20% 확률로 3레벨 암흑효과 적용,0.1020%
,,공격 시 10% 확률로 2레벨 빙결효과 적용,0.4082%,공격 시 10% 확률로 2레벨 빙결효과 적용,0.1020%
,,공격 시 10% 확률로 2레벨 봉인효과 적용,0.4082%,공격 시 10% 확률로 2레벨 봉인효과 적용,0.1020%
,,몬스터 방어율 무시 : +15%,0.4082%,몬스터 방어율 무시 : +15%,0.1020%
