옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12,6.8182%,STR : +6,9.6000%,STR : +6,11.4000%
DEX : +12,6.8182%,DEX : +6,9.6000%,DEX : +6,11.4000%
INT : +12,6.8182%,INT : +6,9.6000%,INT : +6,11.4000%
LUK : +12,6.8182%,LUK : +6,9.6000%,LUK : +6,11.4000%
최대 HP : +120,6.8182%,최대 HP : +60,9.6000%,최대 HP : +60,11.4000%
최대 MP : +120,6.8182%,최대 MP : +60,9.6000%,최대 MP : +60,11.4000%
이동속도 : +8,4.5455%,이동속도 : +4,6.4000%,이동속도 : +4,7.6000%
점프력 : +8,4.5455%,점프력 : +4,6.4000%,점프력 : +4,7.6000%
방어력 : +120,4.5455%,방어력 : +60,9.6000%,방어력 : +60,11.4000%
STR : +3%,6.8182%,STR : +12,1.3636%,STR : +12,0.3409%
DEX : +3%,6.8182%,DEX : +12,1.3636%,DEX : +12,0.3409%
INT : +3%,6.8182%,INT : +12,1.3636%,INT : +12,0.3409%
LUK : +3%,6.8182%,LUK : +12,1.3636%,LUK : +12,0.3409%
최대 HP : +3%,4.5455%,최대 HP : +120,1.3636%,최대 HP : +120,0.3409%
최대 MP : +3%,4.5455%,최대 MP : +120,1.3636%,최대 MP : +120,0.3409%
방어력 : +3%,4.5455%,이동속도 : +8,0.9091%,이동속도 : +8,0.2273%
올스탯 : +5,4.5455%,점프력 : +8,0.9091%,점프력 : +8,0.2273%
,,방어력 : +120,0.9091%,방어력 : +120,0.2273%
,,STR : +3%,1.3636%,STR : +3%,0.3409%
,,DEX : +3%,1.3636%,DEX : +3%,0.3409%
,,INT : +3%,1.3636%,INT : +3%,0.3409%
,,LUK : +3%,1.3636%,LUK : +3%,0.3409%
,,최대 HP : +3%,0.9091%,최대 HP : +3%,0.2273%
,,최대 MP : +3%,0.9091%,최대 MP : +3%,0.2273%
,,방어력 : +3%,0.9091%,방어력 : +3%,0.2273%
,,올스탯 : +5,0.9091%,올스탯 : +5,0.2273%
