옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,12.9032%,STR : +9%,9.0909%,STR : +9%,10.7955%
DEX : +12%,12.9032%,DEX : +9%,9.0909%,DEX : +9%,10.7955%
INT : +12%,12.9032%,INT : +9%,9.0909%,INT : +9%,10.7955%
LUK : +12%,12.9032%,LUK : +9%,9.0909%,LUK : +9%,10.7955%
최대 HP : +12%,12.9032%,최대 HP : +9%,10.9091%,최대 HP : +9%,12.9545%
최대 MP : +12%,12.9032%,최대 MP : +9%,10.9091%,최대 MP : +9%,12.9545%
방어력 : +12%,12.9032%,방어력 : +9%,7.2727%,방어력 : +9%,8.6364%
올스탯 : +9%,9.6774%,올스탯 : +6%,7.2727%,올스탯 : +6%,8.6364%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,7.2727%,HP 회복 아이템 및 회복 스킬 효율 : +30%,8.6364%
,,STR : +12%,2.5806%,STR : +12%,0.6452%
,,DEX : +12%,2.5806%,DEX : +12%,0.6452%
,,INT : +12%,2.5806%,INT : +12%,0.6452%
,,LUK : +12%,2.5806%,LUK : +12%,0.6452%
,,최대 HP : +12%,2.5806%,최대 HP : +12%,0.6452%
,,최대 MP : +12%,2.5806%,최대 MP : +12%,0.6452%
,,방어력 : +12%,2.5806%,방어력 : +12%,0.6452%
,,올스탯 : +9%,1.9355%,올스탯 : +9%,0.4839%
