옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,9.3023%,STR : +9%,9.0909%,STR : +9%,10.7955%
DEX : +12%,9.3023%,DEX : +9%,9.0909%,DEX : +9%,10.7955%
INT : +12%,9.3023%,INT : +9%,9.0909%,INT : +9%,10.7955%
LUK : +12%,9.3023%,LUK : +9%,9.0909%,LUK : +9%,10.7955%
최대 HP : +12%,9.3023%,최대 HP : +9%,10.9091%,최대 HP : +9%,12.9545%
최대 MP : +12%,9.3023%,최대 MP : +9%,10.9091%,최대 MP : +9%,12.9545%
방어력 : +12%,9.3023%,방어력 : +9%,7.2727%,방어력 : +9%,8.6364%
올스탯 : +9%,6.9767%,올스탯 : +6%,7.2727%,올스탯 : +6%,8.6364%
모든 스킬의 MP 소모 : -15%,6.9767%,HP 회복 아이템 및 회복 스킬 효율 : +30%,7.2727%,HP 회복 아이템 및 회복 스킬 효율 : +30%,8.6364%
모든 스킬의 MP 소모 : -30%,6.9767%,STR : +12%,1.8605%,STR : +12%,0.4651%
메소 획득량 : +20%,6.9767%,DEX : +12%,1.8605%,DEX : +12%,0.4651%
아이템 드롭률 : +20%,6.9767%,INT : +12%,1.8605%,INT : +12%,0.4651%
,,LUK : +12%,1.8605%,LUK : +12%,0.4651%
,,최대 HP : +12%,1.8605%,최대 HP : +12%,0.4651%
,,최대 MP : +12%,1.8605%,최대 MP : +12%,0.4651%
,,방어력 : +12%,1.8605%,방어력 : +12%,0.4651%
,,올스탯 : +9%,1.3953%,올스탯 : +9%,0.3488%
,,모든 스킬의 MP 소모 : -15%,1.3953%,모든 스킬의 MP 소모 : -15%,0.3488%
,,모든 스킬의 MP 소모 : -30%,1.3953%,모든 스킬의 MP 소모 : -30%,0.3488%
,,메소 획득량 : +20%,1.3953%,메소 획득량 : +20%,0.3488%
,,아이템 드롭률 : +20%,1.3953%,아이템 드롭률 : +20%,0.3488%
