옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,10.8108%,STR : +9%,7.6923%,STR : +9%,9.1346%
DEX : +12%,10.8108%,DEX : +9%,7.6923%,DEX : +9%,9.1346%
INT : +12%,10.8108%,INT : +9%,7.6923%,INT : +9%,9.1346%
LUK : +12%,10.8108%,LUK : +9%,7.6923%,LUK : +9%,9.1346%
최대 HP : +12%,10.8108%,최대 HP : +9%,9.2308%,최대 HP : +9%,10.9615%
최대 MP : +12%,10.8108%,최대 MP : +9%,9.2308%,최대 MP : +9%,10.9615%
방어력 : +12%,10.8108%,방어력 : +9%,6.1538%,방어력 : +9%,7.3077%
올스탯 : +9%,8.1081%,올스탯 : +6%,6.1538%,올스탯 : +6%,7.3077%
피격 시 10% 확률로 데미지의 20% 무시,8.1081%,피격 시 5% 확률로 데미지의 20% 무시,6.1538%,피격 시 5% 확률로 데미지의 20% 무시,7.3077%
피격 시 10% 확률로 데미지의 40% 무시,8.1081%,피격 시 5% 확률로 데미지의 40% 무시,6.1538%,피격 시 5% 확률로 데미지의 40% 무시,7.3077%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,6.1538%,HP 회복 아이템 및 회복 스킬 효율 : +30%,7.3077%
,,STR : +12%,2.1622%,STR : +12%,0.5405%
,,DEX : +12%,2.1622%,DEX : +12%,0.5405%
,,INT : +12%,2.1622%,INT : +12%,0.5405%
,,LUK : +12%,2.1622%,LUK : +12%,0.5405%
,,최대 HP : +12%,2.1622%,최대 HP : +12%,0.5405%
,,최대 MP : +12%,2.1622%,최대 MP : +12%,0.5405%
,,방어력 : +12%,2.1622%,방어력 : +12%,0.5405%
,,올스탯 : +9%,1.6216%,올스탯 : +9%,0.4054%
,,피격 시 10% 확률로 데미지의 20% 무시,1.6216%,피격 시 10% 확률로 데미지의 20% 무시,0.4054%
,,피격 시 10% 확률로 데미지의 40% 무시,1.6216%,피격 시 10% 확률로 데미지의 40% 무시,0.4054%
