옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,9.7561%,STR : +9%,8.8889%,STR : +9%,10.5556%
DEX : +12%,9.7561%,DEX : +9%,8.8889%,DEX : +9%,10.5556%
INT : +12%,9.7561%,INT : +9%,8.8889%,INT : +9%,10.5556%
LUK : +12%,9.7561%,LUK : +9%,8.8889%,LUK : +9%,10.5556%
공격력 : +12%,4.8780%,공격력 : +9%,5.3333%,공격력 : +9%,6.3333%
마력 : +12%,4.8780%,마력 : +9%,5.3333%,마력 : +9%,6.3333%
크리티컬 확률 : +12%,4.8780%,크리티컬 확률 : +9%,7.1111%,크리티컬 확률 : +9%,8.4444%
데미지 : +12%,4.8780%,데미지 : +9%,5.3333%,데미지 : +9%,6.3333%
올스탯 : +9%,7.3171%,올스탯 : +6%,7.1111%,올스탯 : +6%,8.4444%
캐릭터 기준 10레벨 당 공격력 : +1,4.8780%,몬스터 방어율 무시 : +30%,5.3333%,몬스터 방어율 무시 : +30%,6.3333%
캐릭터 기준 10레벨 당 마력 : +1,4.8780%,보스 몬스터 공격 시 데미지 : +20%,5.3333%,보스 몬스터 공격 시 데미지 : +20%,6.3333%
몬스터 방어율 무시 : +35%,4.8780%,보스 몬스터 공격 시 데미지 : +30%,3.5556%,보스 몬스터 공격 시 데미지 : +30%,4.2222%
몬스터 방어율 무시 : +40%,4.8780%,STR : +12%,1.9512%,STR : +12%,0.4878%
보스 몬스터 공격 시 데미지 : +30%,4.8780%,DEX : +12%,1.9512%,DEX : +12%,0.4878%
보스 몬스터 공격 시 데미지 : +35%,4.8780%,INT : +12%,1.9512%,INT : +12%,0.4878%
보스 몬스터 공격 시 데미지 : +40%,4.8780%,LUK : +12%,1.9512%,LUK : +12%,0.4878%
,,공격력 : +12%,0.9756%,공격력 : +12%,0.2439%
,,마력 : +12%,0.9756%,마력 : +12%,0.2439%
,,크리티컬 확률 : +12%,0.9756%,크리티컬 확률 : +12%,0.2439%
,,데미지 : +12%,0.9756%,데미지 : +12%,0.2439%
,,올스탯 : +9%,1.4634%,올스탯 : +9%,0.3659%
,,캐릭터 기준 10레벨 당 공격력 : +1,0.9756%,캐릭터 기준 10레벨 당 공격력 : +1,0.2439%
,,캐릭터 기준 10레벨 당 마력 : +1,0.9756%,캐릭터 기준 10레벨 당 마력 : +1,0.2439%
,,몬스터 방어율 무시 : +35%,0.9756%,몬스터 방어율 무시 : +35%,0.2439%
,,몬스터 방어율 무시 : +40%,0.9756%,몬스터 방어율 무시 : +40%,0.2439%
,,보스 몬스터 공격 시 데미지 : +30%,0.9756%,보스 몬스터 공격 시 데미지 : +30%,0.2439%
,,보스 몬스터 공격 시 데미지 : +35%,0.9756%,보스 몬스터 공격 시 데미지 : +35%,0.2439%
,,보스 몬스터 공격 시 데미지 : +40%,0.9756%,보스 몬스터 공격 시 데미지 : +40%,0.2439%
