옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,8.8889%,STR : +9%,6.0606%,STR : +9%,7.1970%
DEX : +12%,8.8889%,DEX : +9%,6.0606%,DEX : +9%,7.1970%
INT : +12%,8.8889%,INT : +9%,6.0606%,INT : +9%,7.1970%
LUK : +12%,8.8889%,LUK : +9%,6.0606%,LUK : +9%,7.1970%
최대 HP : +12%,8.8889%,최대 HP : +9%,7.2727%,최대 HP : +9%,8.6364%
최대 MP : +12%,8.8889%,최대 MP : +9%,7.2727%,최대 MP : +9%,8.6364%
방어력 : +12%,8.8889%,방어력 : +9%,4.8485%,방어력 : +9%,5.7576%
올스탯 : +9%,6.6667%,올스탯 : +6%,4.8485%,올스탯 : +6%,5.7576%
모든 속성 내성 : +10%,4.4444%,피격 시 5% 확률로 데미지의 20% 무시,4.8485%,피격 시 5% 확률로 데미지의 20% 무시,5.7576%
피격 시 10% 확률로 데미지의 20% 무시,6.6667%,피격 시 5% 확률로 데미지의 40% 무시,4.8485%,피격 시 5% 확률로 데미지의 40% 무시,5.7576%
피격 시 10% 확률로 데미지의 40% 무시,6.6667%,피격 후 무적시간 : +2초,4.8485%,피격 후 무적시간 : +2초,5.7576%
피격 후 무적시간 : +3초,6.6667%,피격 시 2% 확률로 7초간 무적,4.8485%,피격 시 2% 확률로 7초간 무적,5.7576%
피격 시 4% 확률로 7초간 무적,6.6667%,30% 확률로 받은 피해의 50%를 반사,4.8485%,30% 확률로 받은 피해의 50%를 반사,5.7576%
,,30% 확률로 받은 피해의 70%를 반사,2.4242%,30% 확률로 받은 피해의 70%를 반사,2.8788%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,4.8485%,HP 회복 아이템 및 회복 스킬 효율 : +30%,5.7576%
,,STR : +12%,1.7778%,STR : +12%,0.4444%
,,DEX : +12%,1.7778%,DEX : +12%,0.4444%
,,INT : +12%,1.7778%,INT : +12%,0.4444%
,,LUK : +12%,1.7778%,LUK : +12%,0.4444%
,,최대 HP : +12%,1.7778%,최대 HP : +12%,0.4444%
,,최대 MP : +12%,1.7778%,최대 MP : +12%,0.4444%
,,방어력 : +12%,1.7778%,방어력 : +12%,0.4444%
,,올스탯 : +9%,1.3333%,올스탯 : +9%,0.3333%
,,모든 속성 내성 : +10%,0.8889%,모든 속성 내성 : +10%,0.2222%
,,피격 시 10% 확률로 데미지의 20% 무시,1.3333%,피격 시 10% 확률로 데미지의 20% 무시,0.3333%
,,피격 시 10% 확률로 데미지의 40% 무시,1.3333%,피격 시 10% 확률로 데미지의 40% 무시,0.3333%
,,피격 후 무적시간 : +3초,1.3333%,피격 후 무적시간 : +3초,0.3333%
,,피격 시 4% 확률로 7초간 무적,1.3333%,피격 시 4% 확률로 7초간 무적,0.3333%
