옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,11.4286%,STR : +9%,10.0000%,STR : +9%,11.8750%
DEX : +12%,11.4286%,DEX : +9%,10.0000%,DEX : +9%,11.8750%
INT : +12%,11.4286%,INT : +9%,10.0000%,INT : +9%,11.8750%
LUK : +12%,11.4286%,LUK : +9%,10.0000%,LUK : +9%,11.8750%
공격력 : +12%,5.7143%,공격력 : +9%,6.0000%,공격력 : +9%,7.1250%
마력 : +12%,5.7143%,마력 : +9%,6.0000%,마력 : +9%,7.1250%
크리티컬 확률 : +12%,5.7143%,크리티컬 확률 : +9%,8.0000%,크리티컬 확률 : +9%,9.5000%
데미지 : +12%,5.7143%,데미지 : +9%,6.0000%,데미지 : +9%,7.1250%
올스탯 : +9%,8.5714%,올스탯 : +6%,8.0000%,올스탯 : +6%,9.5000%
캐릭터 기준 10레벨 당 공격력 : +1,5.7143%,몬스터 방어율 무시 : +30%,6.0000%,몬스터 방어율 무시 : +30%,7.1250%
캐릭터 기준 10레벨 당 마력 : +1,5.7143%,STR : +12%,2.2857%,STR : +12%,0.5714%
몬스터 방어율 무시 : +35%,5.7143%,DEX : +12%,2.2857%,DEX : +12%,0.5714%
몬스터 방어율 무시 : +40%,5.7143%,INT : +12%,2.2857%,INT : +12%,0.5714%
,,LUK : +12%,2.2857%,LUK : +12%,0.5714%
,,공격력 : +12%,1.1429%,공격력 : +12%,0.2857%
,,마력 : +12%,1.1429%,마력 : +12%,0.2857%
,,크리티컬 확률 : +12%,1.1429%,크리티컬 확률 : +12%,0.2857%
,,데미지 : +12%,1.1429%,데미지 : +12%,0.2857%
,,올스탯 : +9%,1.7143%,올스탯 : +9%,0.4286%
,,캐릭터 기준 10레벨 당 공격력 : +1,1.1429%,캐릭터 기준 10레벨 당 공격력 : +1,0.2857%
,,캐릭터 기준 10레벨 당 마력 : +1,1.1429%,캐릭터 기준 10레벨 당 마력 : +1,0.2857%
,,몬스터 방어율 무시 : +35%,1.1429%,몬스터 방어율 무시 : +35%,0.2857%
,,몬스터 방어율 무시 : +40%,1.1429%,몬스터 방어율 무시 : +40%,0.2857%
