옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,8.5106%,STR : +9%,7.5472%,STR : +9%,8.9623%
DEX : +12%,8.5106%,DEX : +9%,7.5472%,DEX : +9%,8.9623%
INT : +12%,8.5106%,INT : +9%,7.5472%,INT : +9%,8.9623%
LUK : +12%,8.5106%,LUK : +9%,7.5472%,LUK : +9%,8.9623%
공격력 : +12%,4.2553%,공격력 : +9%,4.5283%,공격력 : +9%,5.3774%
마력 : +12%,4.2553%,마력 : +9%,4.5283%,마력 : +9%,5.3774%
크리티컬 확률 : +12%,4.2553%,크리티컬 확률 : +9%,6.0377%,크리티컬 확률 : +9%,7.1698%
데미지 : +12%,4.2553%,데미지 : +9%,4.5283%,데미지 : +9%,5.3774%
올스탯 : +9%,6.3830%,올스탯 : +6%,6.0377%,올스탯 : +6%,7.1698%
캐릭터 기준 10레벨 당 공격력 : +1,4.2553%,몬스터 방어율 무시 : +30%,4.5283%,몬스터 방어율 무시 : +30%,5.3774%
캐릭터 기준 10레벨 당 마력 : +1,4.2553%,피격 시 5% 확률로 데미지의 20% 무시,6.0377%,피격 시 5% 확률로 데미지의 20% 무시,7.1698%
몬스터 방어율 무시 : +35%,4.2553%,피격 시 5% 확률로 데미지의 40% 무시,6.0377%,피격 시 5% 확률로 데미지의 40% 무시,7.1698%
몬스터 방어율 무시 : +40%,4.2553%,보스 몬스터 공격 시 데미지 : +20%,4.5283%,보스 몬스터 공격 시 데미지 : +20%,5.3774%
피격 시 10% 확률로 데미지의 20% 무시,6.3830%,보스 몬스터 공격 시 데미지 : +30%,3.0189%,보스 몬스터 공격 시 데미지 : +30%,3.5849%
피격 시 10% 확률로 데미지의 40% 무시,6.3830%,STR : +12%,1.7021%,STR : +12%,0.4255%
보스 몬스터 공격 시 데미지 : +30%,4.2553%,DEX : +12%,1.7021%,DEX : +12%,0.4255%
보스 몬스터 공격 시 데미지 : +35%,4.2553%,INT : +12%,1.7021%,INT : +12%,0.4255%
보스 몬스터 공격 시 데미지 : +40%,4.2553%,LUK : +12%,1.7021%,LUK : +12%,0.4255%
,,공격력 : +12%,0.8511%,공격력 : +12%,0.2128%
,,마력 : +12%,0.8511%,마력 : +12%,0.2128%
,,크리티컬 확률 : +12%,0.8511%,크리티컬 확률 : +12%,0.2128%
,,데미지 : +12%,0.8511%,데미지 : +12%,0.2128%
,,올스탯 : +9%,1.2766%,올스탯 : +9%,0.3191%
,,캐릭터 기준 10레벨 당 공격력 : +1,0.8511%,캐릭터 기준 10레벨 당 공격력 : +1,0.2128%
,,캐릭터 기준 10레벨 당 마력 : +1,0.8511%,캐릭터 기준 10레벨 당 마력 : +1,0.2128%
,,몬스터 방어율 무시 : +35%,0.8511%,몬스터 방어율 무시 : +35%,0.2128%
,,몬스터 방어율 무시 : +40%,0.8511%,몬스터 방어율 무시 : +40%,0.2128%
,,피격 시 10% 확률로 데미지의 20% 무시,1.2766%,피격 시 10% 확률로 데미지의 20% 무시,0.3191%
,,피격 시 10% 확률로 데미지의 40% 무시,1.2766%,피격 시 10% 확률로 데미지의 40% 무시,0.3191%
,,보스 몬스터 공격 시 데미지 : +30%,0.8511%,보스 몬스터 공격 시 데미지 : +30%,0.2128%
,,보스 몬스터 공격 시 데미지 : +35%,0.8511%,보스 몬스터 공격 시 데미지 : +35%,0.2128%
,,보스 몬스터 공격 시 데미지 : +40%,0.8511%,보스 몬스터 공격 시 데미지 : +40%,0.2128%
