옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,10.2564%,STR : +9%,7.1429%,STR : +9%,8.4821%
DEX : +12%,10.2564%,DEX : +9%,7.1429%,DEX : +9%,8.4821%
INT : +12%,10.2564%,INT : +9%,7.1429%,INT : +9%,8.4821%
LUK : +12%,10.2564%,LUK : +9%,7.1429%,LUK : +9%,8.4821%
최대 HP : +12%,10.2564%,최대 HP : +9%,8.5714%,최대 HP : +9%,10.1786%
최대 MP : +12%,10.2564%,최대 MP : +9%,8.5714%,최대 MP : +9%,10.1786%
방어력 : +12%,10.2564%,방어력 : +9%,5.7143%,방어력 : +9%,6.7857%
올스탯 : +9%,7.6923%,올스탯 : +6%,5.7143%,올스탯 : +6%,6.7857%
상태 이상 내성 : +10,5.1282%,피격 시 5% 확률로 데미지의 20% 무시,5.7143%,피격 시 5% 확률로 데미지의 20% 무시,6.7857%
피격 시 10% 확률로 데미지의 20% 무시,7.6923%,피격 시 5% 확률로 데미지의 40% 무시,5.7143%,피격 시 5% 확률로 데미지의 40% 무시,6.7857%
피격 시 10% 확률로 데미지의 40% 무시,7.6923%,HP 회복 아이템 및 회복 스킬 효율 : +30%,5.7143%,HP 회복 아이템 및 회복 스킬 효율 : +30%,6.7857%
,,<쓸만한 하이퍼 바디> 스킬 사용 가능,5.7143%,<쓸만한 하이퍼 바디> 스킬 사용 가능,6.7857%
,,STR : +12%,2.0513%,STR : +12%,0.5128%
,,DEX : +12%,2.0513%,DEX : +12%,0.5128%
,,INT : +12%,2.0513%,INT : +12%,0.5128%
,,LUK : +12%,2.0513%,LUK : +12%,0.5128%
,,최대 HP : +12%,2.0513%,최대 HP : +12%,0.5128%
,,최대 MP : +12%,2.0513%,최대 MP : +12%,0.5128%
,,방어력 : +12%,2.0513%,방어력 : +12%,0.5128%
,,올스탯 : +9%,1.5385%,올스탯 : +9%,0.3846%
,,상태 이상 내성 : +10,1.0256%,상태 이상 내성 : +10,0.2564%
,,피격 시 10% 확률로 데미지의 20% 무시,1.5385%,피격 시 10% 확률로 데미지의 20% 무시,0.3846%
,,피격 시 10% 확률로 데미지의 40% 무시,1.5385%,피격 시 10% 확률로 데미지의 40% 무시,0.3846%
