옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +6%,14.2857%,STR : +12,6.0000%,STR : +12,7.1250%
DEX : +6%,14.2857%,DEX : +12,6.0000%,DEX : +12,7.1250%
INT : +6%,14.2857%,INT : +12,6.0000%,INT : +12,7.1250%
LUK : +6%,14.2857%,LUK : +12,6.0000%,LUK : +12,7.1250%
최대 HP : +6%,14.2857%,최대 HP : +120,6.0000%,최대 HP : +120,7.1250%
최대 MP : +6%,14.2857%,최대 MP : +120,6.0000%,최대 MP : +120,7.1250%
방어력 : +6%,8.5714%,방어력 : +120,4.0000%,방어력 : +120,4.7500%
올스탯 : +3%,5.7143%,STR : +3%,6.0000%,STR : +3%,7.1250%
,,DEX : +3%,6.0000%,DEX : +3%,7.1250%
,,INT : +3%,6.0000%,INT : +3%,7.1250%
,,LUK : +3%,6.0000%,LUK : +3%,7.1250%
,,최대 HP : +3%,4.0000%,최대 HP : +3%,4.7500%
,,최대 MP : +3%,4.0000%,최대 MP : +3%,4.7500%
,,방어력 : +3%,4.0000%,방어력 : +3%,4.7500%
,,올스탯 : +5,4.0000%,올스탯 : +5,4.7500%
,,STR : +6%,2.8571%,STR : +6%,0.7143%
,,DEX : +6%,2.8571%,DEX : +6%,0.7143%
,,INT : +6%,2.8571%,INT : +6%,0.7143%
,,LUK : +6%,2.8571%,LUK : +6%,0.7143%
,,최대 HP : +6%,2.8571%,최대 HP : +6%,0.7143%
,,최대 MP : +6%,2.8571%,최대 MP : +6%,0.7143%
,,방어력 : +6%,1.7143%,방어력 : +6%,0.4286%
,,올스탯 : +3%,1.1429%,올스탯 : +3%,0.2857%
