옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +6%,10.8696%,STR : +12,4.8980%,STR : +12,5.8163%
DEX : +6%,10.8696%,DEX : +12,4.8980%,DEX : +12,5.8163%
INT : +6%,10.8696%,INT : +12,4.8980%,INT : +12,5.8163%
LUK : +6%,10.8696%,LUK : +12,4.8980%,LUK : +12,5.8163%
최대 HP : +6%,10.8696%,최대 HP : +100,4.8980%,최대 HP : +100,5.8163%
최대 MP : +6%,10.8696%,최대 MP : +100,4.8980%,최대 MP : +100,5.8163%
공격력 : +6%,4.3478%,공격력 : +12,3.2653%,공격력 : +12,3.8776%
마력 : +6%,4.3478%,마력 : +12,3.2653%,마력 : +12,3.8776%
크리티컬 확률 : +8%,4.3478%,STR : +3%,4.8980%,STR : +3%,5.8163%
데미지 : +6%,4.3478%,DEX : +3%,4.8980%,DEX : +3%,5.8163%
올스탯 : +3%,4.3478%,INT : +3%,4.8980%,INT : +3%,5.8163%
공격 시 20% 확률로 300의 HP 회복,4.3478%,LUK : +3%,4.8980%,LUK : +3%,5.8163%
공격 시 20% 확률로 165의 MP 회복,4.3478%,공격력 : +3%,1.6327%,공격력 : +3%,1.9388%
몬스터 방어율 무시 : +15%,4.3478%,마력 : +3%,1.6327%,마력 : +3%,1.9388%
,,크리티컬 확률 : +4%,1.6327%,크리티컬 확률 : +4%,1.9388%
,,데미지 : +3%,1.6327%,데미지 : +3%,1.9388%
,,올스탯 : +5,3.2653%,올스탯 : +5,3.8776%
,,공격 시 20% 확률로 200의 HP 회복,1.6327%,공격 시 20% 확률로 200의 HP 회복,1.9388%
,,공격 시 20% 확률로 110의 MP 회복,1.6327%,공격 시 20% 확률로 110의 MP 회복,1.9388%
,,공격 시 20% 확률로 5레벨 중독효과 적용,1.6327%,공격 시 20% 확률로 5레벨 중독효과 적용,1.9388%
,,공격 시 10% 확률로 2레벨 기절효과 적용,1.6327%,공격 시 10% 확률로 2레벨 기절효과 적용,1.9388%
,,공격 시 20% 확률로 2레벨 슬로우효과 적용,1.6327%,공격 시 20% 확률로 2레벨 슬로우효과 적용,1.9388%
,,공격 시 20% 확률로 2레벨 암흑효과 적용,1.6327%,공격 시 20% 확률로 2레벨 암흑효과 적용,1.9388%
,,공격 시 10% 확률로 2레벨 빙결효과 적용,1.6327%,공격 시 10% 확률로 2레벨 빙결효과 적용,1.9388%
,,공격 시 10% 확률로 2레벨 봉인효과 적용,1.6327%,공격 시 10% 확률로 2레벨 봉인효과 적용,1.9388%
,,몬스터 방어율 무시 : +15%,1.6327%,몬스터 방어율 무시 : +15%,1.9388%
,,STR : +6%,2.1739%,STR : +6%,0.5435%
,,DEX : +6%,2.1739%,DEX : +6%,0.5435%
,,INT : +6%,2.1739%,INT : +6%,0.5435%
,,LUK : +6%,2.1739%,LUK : +6%,0.5435%
,,최대 HP : +6%,2.1739%,최대 HP : +6%,0.5435%
,,최대 MP : +6%,2.1739%,최대 MP : +6%,0.5435%
,,공격력 : +6%,0.8696%,공격력 : +6%,0.2174%
,,마력 : +6%,0.8696%,마력 : +6%,0.2174%
,,크리티컬 확률 : +8%,0.8696%,크리티컬 확률 : +8%,0.2174%
,,데미지 : +6%,0.8696%,데미지 : +6%,0.2174%
,,올스탯 : +3%,0.8696%,올스탯 : +3%,0.2174%
,,공격 시 20% 확률로 300의 HP 회복,0.8696%,공격 시 20% 확률로 300의 HP 회복,0.2174%
,,공격 시 20% 확률로 165의 MP 회복,0.8696%,공격 시 20% 확률로 165의 MP 회복,0.2174%
,,몬스터 방어율 무시 : +15%,0.8696%,몬스터 방어율 무시 : +15%,0.2174%
