옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +6%,13.1579%,STR : +12,6.0000%,STR : +12,7.1250%
DEX : +6%,13.1579%,DEX : +12,6.0000%,DEX : +12,7.1250%
INT : +6%,13.1579%,INT : +12,6.0000%,INT : +12,7.1250%
LUK : +6%,13.1579%,LUK : +12,6.0000%,LUK : +12,7.1250%
최대 HP : +6%,13.1579%,최대 HP : +120,6.0000%,최대 HP : +120,7.1250%
최대 MP : +6%,13.1579%,최대 MP : +120,6.0000%,최대 MP : +120,7.1250%
방어력 : +6%,7.8947%,방어력 : +120,4.0000%,방어력 : +120,4.7500%
올스탯 : +3%,5.2632%,STR : +3%,6.0000%,STR : +3%,7.1250%
피격 후 무적시간 : +1초,7.8947%,DEX : +3%,6.0000%,DEX : +3%,7.1250%
,,INT : +3%,6.0000%,INT : +3%,7.1250%
,,LUK : +3%,6.0000%,LUK : +3%,7.1250%
,,최대 HP : +3%,4.0000%,최대 HP : +3%,4.7500%
,,최대 MP : +3%,4.0000%,최대 MP : +3%,4.7500%
,,방어력 : +3%,4.0000%,방어력 : +3%,4.7500%
,,올스탯 : +5,4.0000%,올스탯 : +5,4.7500%
,,STR : +6%,2.6316%,STR : +6%,0.6579%
,,DEX : +6%,2.6316%,DEX : +6%,0.6579%
,,INT : +6%,2.6316%,INT : +6%,0.6579%
,,LUK : +6%,2.6316%,LUK : +6%,0.6579%
,,최대 HP : +6%,2.6316%,최대 HP : +6%,0.6579%
,,최대 MP : +6%,2.6316%,최대 MP : +6%,0.6579%
,,방어력 : +6%,1.5789%,방어력 : +6%,0.3947%
,,올스탯 : +3%,1.0526%,올스탯 : +3%,0.2632%
,,피격 후 무적시간 : +1초,1.5789%,피격 후 무적시간 : +1초,0.3947%
