옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +6%,14.2857%,STR : +12,5.4545%,STR : +12,6.4773%
DEX : +6%,14.2857%,DEX : +12,5.4545%,DEX : +12,6.4773%
INT : +6%,14.2857%,INT : +12,5.4545%,INT : +12,6.4773%
LUK : +6%,14.2857%,LUK : +12,5.4545%,LUK : +12,6.4773%
최대 HP : +6%,14.2857%,최대 HP : +120,5.4545%,최대 HP : +120,6.4773%
최대 MP : +6%,14.2857%,최대 MP : +120,5.4545%,최대 MP : +120,6.4773%
방어력 : +6%,8.5714%,이동속도 : +8,3.6364%,이동속도 : +8,4.3182%
올스탯 : +3%,5.7143%,점프력 : +8,3.6364%,점프력 : +8,4.3182%
,,방어력 : +120,3.6364%,방어력 : +120,4.3182%
,,STR : +3%,5.4545%,STR : +3%,6.4773%
,,DEX : +3%,5.4545%,DEX : +3%,6.4773%
,,INT : +3%,5.4545%,INT : +3%,6.4773%
,,LUK : +3%,5.4545%,LUK : +3%,6.4773%
,,최대 HP : +3%,3.6364%,최대 HP : +3%,4.3182%
,,최대 MP : +3%,3.6364%,최대 MP : +3%,4.3182%
,,방어력 : +3%,3.6364%,방어력 : +3%,4.3182%
,,올스탯 : +5,3.6364%,올스탯 : +5,4.3182%
,,STR : +6%,2.8571%,STR : +6%,0.7143%
,,DEX : +6%,2.8571%,DEX : +6%,0.7143%
,,INT : +6%,2.8571%,INT : +6%,0.7143%
,,LUK : +6%,2.8571%,LUK : +6%,0.7143%
,,최대 HP : +6%,2.8571%,최대 HP : +6%,0.7143%
,,최대 MP : +6%,2.8571%,최대 MP : +6%,0.7143%
,,방어력 : +6%,1.7143%,방어력 : +6%,0.4286%
,,올스탯 : +3%,1.1429%,올스탯 : +3%,0.2857%
