옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +6%,12.1951%,STR : +12,6.0000%,STR : +12,7.1250%
DEX : +6%,12.1951%,DEX : +12,6.0000%,DEX : +12,7.1250%
INT : +6%,12.1951%,INT : +12,6.0000%,INT : +12,7.1250%
LUK : +6%,12.1951%,LUK : +12,6.0000%,LUK : +12,7.1250%
최대 HP : +6%,12.1951%,최대 HP : +120,6.0000%,최대 HP : +120,7.1250%
최대 MP : +6%,12.1951%,최대 MP : +120,6.0000%,최대 MP : +120,7.1250%
방어력 : +6%,7.3171%,방어력 : +120,4.0000%,방어력 : +120,4.7500%
올스탯 : +3%,4.8780%,STR : +3%,6.0000%,STR : +3%,7.1250%
몬스터 처치 시 15% 확률로 95의 HP
                                    회복,7.3171%,DEX : +3%,6.0000%,DEX : +3%,7.1250%
몬스터 처치 시 15% 확률로 95의 MP
                                    회복,7.3171%,INT : +3%,6.0000%,INT : +3%,7.1250%
,,LUK : +3%,6.0000%,LUK : +3%,7.1250%
,,최대 HP : +3%,4.0000%,최대 HP : +3%,4.7500%
,,최대 MP : +3%,4.0000%,최대 MP : +3%,4.7500%
,,방어력 : +3%,4.0000%,방어력 : +3%,4.7500%
,,올스탯 : +5,4.0000%,올스탯 : +5,4.7500%
,,STR : +6%,2.4390%,STR : +6%,0.6098%
,,DEX : +6%,2.4390%,DEX : +6%,0.6098%
,,INT : +6%,2.4390%,INT : +6%,0.6098%
,,LUK : +6%,2.4390%,LUK : +6%,0.6098%
,,최대 HP : +6%,2.4390%,최대 HP : +6%,0.6098%
,,최대 MP : +6%,2.4390%,최대 MP : +6%,0.6098%
,,방어력 : +6%,1.4634%,방어력 : +6%,0.3659%
,,올스탯 : +3%,0.9756%,올스탯 : +3%,0.2439%
,,몬스터 처치 시 15% 확률로 95의 HP 회복,1.4634%,몬스터 처치 시 15% 확률로 95의 HP 회복,0.3659%
,,몬스터 처치 시 15% 확률로 95의 MP 회복,1.4634%,몬스터 처치 시 15% 확률로 95의 MP 회복,0.3659%
