옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +6%,12.1951%,STR : +12,5.2174%,STR : +12,6.1957%
DEX : +6%,12.1951%,DEX : +12,5.2174%,DEX : +12,6.1957%
INT : +6%,12.1951%,INT : +12,5.2174%,INT : +12,6.1957%
LUK : +6%,12.1951%,LUK : +12,5.2174%,LUK : +12,6.1957%
최대 HP : +6%,12.1951%,최대 HP : +100,5.2174%,최대 HP : +100,6.1957%
공격력 : +6%,4.8780%,공격력 : +12,3.4783%,공격력 : +12,4.1304%
마력 : +6%,4.8780%,마력 : +12,3.4783%,마력 : +12,4.1304%
크리티컬 확률 : +8%,4.8780%,STR : +3%,5.2174%,STR : +3%,6.1957%
데미지 : +6%,4.8780%,DEX : +3%,5.2174%,DEX : +3%,6.1957%
올스탯 : +3%,4.8780%,INT : +3%,5.2174%,INT : +3%,6.1957%
공격 시 20% 확률로 300의 HP 회복,4.8780%,LUK : +3%,5.2174%,LUK : +3%,6.1957%
공격 시 20% 확률로 165의 MP 회복,4.8780%,공격력 : +3%,1.7391%,공격력 : +3%,2.0652%
몬스터 방어율 무시 : +15%,4.8780%,마력 : +3%,1.7391%,마력 : +3%,2.0652%
,,크리티컬 확률 : +4%,1.7391%,크리티컬 확률 : +4%,2.0652%
,,데미지 : +3%,1.7391%,데미지 : +3%,2.0652%
,,올스탯 : +5,3.4783%,올스탯 : +5,4.1304%
,,공격 시 20% 확률로 200의 HP 회복,1.7391%,공격 시 20% 확률로 200의 HP 회복,2.0652%
,,공격 시 20% 확률로 110의 MP 회복,1.7391%,공격 시 20% 확률로 110의 MP 회복,2.0652%
,,공격 시 20% 확률로 5레벨 중독효과 적용,1.7391%,공격 시 20% 확률로 5레벨 중독효과 적용,2.0652%
,,공격 시 10% 확률로 2레벨 기절효과 적용,1.7391%,공격 시 10% 확률로 2레벨 기절효과 적용,2.0652%
,,공격 시 20% 확률로 2레벨 슬로우효과 적용,1.7391%,공격 시 20% 확률로 2레벨 슬로우효과 적용,2.0652%
,,공격 시 20% 확률로 2레벨 암흑효과 적용,1.7391%,공격 시 20% 확률로 2레벨 암흑효과 적용,2.0652%
,,공격 시 10% 확률로 2레벨 빙결효과 적용,1.7391%,공격 시 10% 확률로 2레벨 빙결효과 적용,2.0652%
,,공격 시 10% 확률로 2레벨 봉인효과 적용,1.7391%,공격 시 10% 확률로 2레벨 봉인효과 적용,2.0652%
,,몬스터 방어율 무시 : +15%,1.7391%,몬스터 방어율 무시 : +15%,2.0652%
,,STR : +6%,2.4390%,STR : +6%,0.6098%
,,DEX : +6%,2.4390%,DEX : +6%,0.6098%
,,INT : +6%,2.4390%,INT : +6%,0.6098%
,,LUK : +6%,2.4390%,LUK : +6%,0.6098%
,,최대 HP : +6%,2.4390%,최대 HP : +6%,0.6098%
,,공격력 : +6%,0.9756%,공격력 : +6%,0.2439%
,,마력 : +6%,0.9756%,마력 : +6%,0.2439%
,,크리티컬 확률 : +8%,0.9756%,크리티컬 확률 : +8%,0.2439%
,,데미지 : +6%,0.9756%,데미지 : +6%,0.2439%
,,올스탯 : +3%,0.9756%,올스탯 : +3%,0.2439%
,,공격 시 20% 확률로 300의 HP 회복,0.9756%,공격 시 20% 확률로 300의 HP 회복,0.2439%
,,공격 시 20% 확률로 165의 MP 회복,0.9756%,공격 시 20% 확률로 165의 MP 회복,0.2439%
,,몬스터 방어율 무시 : +15%,0.9756%,몬스터 방어율 무시 : +15%,0.2439%
