옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,11.3636%,STR : +6%,11.4286%,STR : +6%,13.5714%
DEX : +9%,11.3636%,DEX : +6%,11.4286%,DEX : +6%,13.5714%
INT : +9%,11.3636%,INT : +6%,11.4286%,INT : +6%,13.5714%
LUK : +9%,11.3636%,LUK : +6%,11.4286%,LUK : +6%,13.5714%
최대 HP : +9%,13.6364%,최대 HP : +6%,11.4286%,최대 HP : +6%,13.5714%
최대 MP : +9%,13.6364%,최대 MP : +6%,11.4286%,최대 MP : +6%,13.5714%
방어력 : +9%,9.0909%,방어력 : +6%,6.8571%,방어력 : +6%,8.1429%
올스탯 : +6%,9.0909%,올스탯 : +3%,4.5714%,올스탯 : +3%,5.4286%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,9.0909%,STR : +9%,2.2727%,STR : +9%,0.5682%
,,DEX : +9%,2.2727%,DEX : +9%,0.5682%
,,INT : +9%,2.2727%,INT : +9%,0.5682%
,,LUK : +9%,2.2727%,LUK : +9%,0.5682%
,,최대 HP : +9%,2.7273%,최대 HP : +9%,0.6818%
,,최대 MP : +9%,2.7273%,최대 MP : +9%,0.6818%
,,방어력 : +9%,1.8182%,방어력 : +9%,0.4545%
,,올스탯 : +6%,1.8182%,올스탯 : +6%,0.4545%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,1.8182%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.4545%
