옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,11.1111%,STR : +6%,8.6957%,STR : +6%,10.3261%
DEX : +9%,11.1111%,DEX : +6%,8.6957%,DEX : +6%,10.3261%
INT : +9%,11.1111%,INT : +6%,8.6957%,INT : +6%,10.3261%
LUK : +9%,11.1111%,LUK : +6%,8.6957%,LUK : +6%,10.3261%
공격력 : +9%,6.6667%,최대 HP : +6%,8.6957%,최대 HP : +6%,10.3261%
마력 : +9%,6.6667%,최대 MP : +6%,8.6957%,최대 MP : +6%,10.3261%
크리티컬 확률 : +9%,8.8889%,공격력 : +6%,3.4783%,공격력 : +6%,4.1304%
데미지 : +9%,6.6667%,마력 : +6%,3.4783%,마력 : +6%,4.1304%
올스탯 : +6%,8.8889%,크리티컬 확률 : +8%,3.4783%,크리티컬 확률 : +8%,4.1304%
몬스터 방어율 무시 : +30%,6.6667%,데미지 : +6%,3.4783%,데미지 : +6%,4.1304%
보스 몬스터 공격 시 데미지 : +20%,6.6667%,올스탯 : +3%,3.4783%,올스탯 : +3%,4.1304%
보스 몬스터 공격 시 데미지 : +30%,4.4444%,공격 시 20% 확률로 360의 HP 회복,3.4783%,공격 시 20% 확률로 360의 HP 회복,4.1304%
,,공격 시 20% 확률로 180의 MP 회복,3.4783%,공격 시 20% 확률로 180의 MP 회복,4.1304%
,,몬스터 방어율 무시 : +15%,3.4783%,몬스터 방어율 무시 : +15%,4.1304%
,,STR : +9%,2.2222%,STR : +9%,0.5556%
,,DEX : +9%,2.2222%,DEX : +9%,0.5556%
,,INT : +9%,2.2222%,INT : +9%,0.5556%
,,LUK : +9%,2.2222%,LUK : +9%,0.5556%
,,공격력 : +9%,1.3333%,공격력 : +9%,0.3333%
,,마력 : +9%,1.3333%,마력 : +9%,0.3333%
,,크리티컬 확률 : +9%,1.7778%,크리티컬 확률 : +9%,0.4444%
,,데미지 : +9%,1.3333%,데미지 : +9%,0.3333%
,,올스탯 : +6%,1.7778%,올스탯 : +6%,0.4444%
,,몬스터 방어율 무시 : +30%,1.3333%,몬스터 방어율 무시 : +30%,0.3333%
,,보스 몬스터 공격 시 데미지 : +20%,1.3333%,보스 몬스터 공격 시 데미지 : +20%,0.3333%
,,보스 몬스터 공격 시 데미지 : +30%,0.8889%,보스 몬스터 공격 시 데미지 : +30%,0.2222%
