옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,9.6154%,STR : +6%,11.4286%,STR : +6%,13.5714%
DEX : +9%,9.6154%,DEX : +6%,11.4286%,DEX : +6%,13.5714%
INT : +9%,9.6154%,INT : +6%,11.4286%,INT : +6%,13.5714%
LUK : +9%,9.6154%,LUK : +6%,11.4286%,LUK : +6%,13.5714%
최대 HP : +9%,11.5385%,최대 HP : +6%,11.4286%,최대 HP : +6%,13.5714%
최대 MP : +9%,11.5385%,최대 MP : +6%,11.4286%,최대 MP : +6%,13.5714%
방어력 : +9%,7.6923%,방어력 : +6%,6.8571%,방어력 : +6%,8.1429%
올스탯 : +6%,7.6923%,올스탯 : +3%,4.5714%,올스탯 : +3%,5.4286%
피격 시 5% 확률로 데미지의 20% 무시,7.6923%,STR : +9%,1.9231%,STR : +9%,0.4808%
피격 시 5% 확률로 데미지의 40% 무시,7.6923%,DEX : +9%,1.9231%,DEX : +9%,0.4808%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,7.6923%,INT : +9%,1.9231%,INT : +9%,0.4808%
,,LUK : +9%,1.9231%,LUK : +9%,0.4808%
,,최대 HP : +9%,2.3077%,최대 HP : +9%,0.5769%
,,최대 MP : +9%,2.3077%,최대 MP : +9%,0.5769%
,,방어력 : +9%,1.5385%,방어력 : +9%,0.3846%
,,올스탯 : +6%,1.5385%,올스탯 : +6%,0.3846%
,,피격 시 5% 확률로 데미지의 20% 무시,1.5385%,피격 시 5% 확률로 데미지의 20% 무시,0.3846%
,,피격 시 5% 확률로 데미지의 40% 무시,1.5385%,피격 시 5% 확률로 데미지의 40% 무시,0.3846%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,1.5385%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.3846%
