옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,9.4340%,STR : +6%,8.6957%,STR : +6%,10.3261%
DEX : +9%,9.4340%,DEX : +6%,8.6957%,DEX : +6%,10.3261%
INT : +9%,9.4340%,INT : +6%,8.6957%,INT : +6%,10.3261%
LUK : +9%,9.4340%,LUK : +6%,8.6957%,LUK : +6%,10.3261%
공격력 : +9%,5.6604%,최대 HP : +6%,8.6957%,최대 HP : +6%,10.3261%
마력 : +9%,5.6604%,최대 MP : +6%,8.6957%,최대 MP : +6%,10.3261%
크리티컬 확률 : +9%,7.5472%,공격력 : +6%,3.4783%,공격력 : +6%,4.1304%
데미지 : +9%,5.6604%,마력 : +6%,3.4783%,마력 : +6%,4.1304%
올스탯 : +6%,7.5472%,크리티컬 확률 : +8%,3.4783%,크리티컬 확률 : +8%,4.1304%
몬스터 방어율 무시 : +30%,5.6604%,데미지 : +6%,3.4783%,데미지 : +6%,4.1304%
피격 시 5% 확률로 데미지의 20% 무시,7.5472%,올스탯 : +3%,3.4783%,올스탯 : +3%,4.1304%
피격 시 5% 확률로 데미지의 40% 무시,7.5472%,공격 시 20% 확률로 300의 HP 회복,3.4783%,공격 시 20% 확률로 300의 HP 회복,4.1304%
보스 몬스터 공격 시 데미지 : +20%,5.6604%,공격 시 20% 확률로 165의 MP 회복,3.4783%,공격 시 20% 확률로 165의 MP 회복,4.1304%
보스 몬스터 공격 시 데미지 : +30%,3.7736%,몬스터 방어율 무시 : +15%,3.4783%,몬스터 방어율 무시 : +15%,4.1304%
,,STR : +9%,1.8868%,STR : +9%,0.4717%
,,DEX : +9%,1.8868%,DEX : +9%,0.4717%
,,INT : +9%,1.8868%,INT : +9%,0.4717%
,,LUK : +9%,1.8868%,LUK : +9%,0.4717%
,,공격력 : +9%,1.1321%,공격력 : +9%,0.2830%
,,마력 : +9%,1.1321%,마력 : +9%,0.2830%
,,크리티컬 확률 : +9%,1.5094%,크리티컬 확률 : +9%,0.3774%
,,데미지 : +9%,1.1321%,데미지 : +9%,0.2830%
,,올스탯 : +6%,1.5094%,올스탯 : +6%,0.3774%
,,몬스터 방어율 무시 : +30%,1.1321%,몬스터 방어율 무시 : +30%,0.2830%
,,피격 시 5% 확률로 데미지의 20% 무시,1.5094%,피격 시 5% 확률로 데미지의 20% 무시,0.3774%
,,피격 시 5% 확률로 데미지의 40% 무시,1.5094%,피격 시 5% 확률로 데미지의 40% 무시,0.3774%
,,보스 몬스터 공격 시 데미지 : +20%,1.1321%,보스 몬스터 공격 시 데미지 : +20%,0.2830%
,,보스 몬스터 공격 시 데미지 : +30%,0.7547%,보스 몬스터 공격 시 데미지 : +30%,0.1887%
