옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,8.9286%,STR : +6%,11.4286%,STR : +6%,13.5714%
DEX : +9%,8.9286%,DEX : +6%,11.4286%,DEX : +6%,13.5714%
INT : +9%,8.9286%,INT : +6%,11.4286%,INT : +6%,13.5714%
LUK : +9%,8.9286%,LUK : +6%,11.4286%,LUK : +6%,13.5714%
최대 HP : +9%,10.7143%,최대 HP : +6%,11.4286%,최대 HP : +6%,13.5714%
최대 MP : +9%,10.7143%,최대 MP : +6%,11.4286%,최대 MP : +6%,13.5714%
방어력 : +9%,7.1429%,방어력 : +6%,6.8571%,방어력 : +6%,8.1429%
올스탯 : +6%,7.1429%,올스탯 : +3%,4.5714%,올스탯 : +3%,5.4286%
피격 시 5% 확률로 데미지의 20% 무시,7.1429%,STR : +9%,1.7857%,STR : +9%,0.4464%
피격 시 5% 확률로 데미지의 40% 무시,7.1429%,DEX : +9%,1.7857%,DEX : +9%,0.4464%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,7.1429%,INT : +9%,1.7857%,INT : +9%,0.4464%
<쓸만한 헤이스트> 스킬 사용 가능,7.1429%,LUK : +9%,1.7857%,LUK : +9%,0.4464%
,,최대 HP : +9%,2.1429%,최대 HP : +9%,0.5357%
,,최대 MP : +9%,2.1429%,최대 MP : +9%,0.5357%
,,방어력 : +9%,1.4286%,방어력 : +9%,0.3571%
,,올스탯 : +6%,1.4286%,올스탯 : +6%,0.3571%
,,피격 시 5% 확률로 데미지의 20% 무시,1.4286%,피격 시 5% 확률로 데미지의 20% 무시,0.3571%
,,피격 시 5% 확률로 데미지의 40% 무시,1.4286%,피격 시 5% 확률로 데미지의 40% 무시,0.3571%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,1.4286%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.3571%
,,<쓸만한 헤이스트> 스킬 사용 가능,1.4286%,<쓸만한 헤이스트> 스킬 사용 가능,0.3571%
