옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,12.5000%,STR : +6%,8.6957%,STR : +6%,10.3261%
DEX : +9%,12.5000%,DEX : +6%,8.6957%,DEX : +6%,10.3261%
INT : +9%,12.5000%,INT : +6%,8.6957%,INT : +6%,10.3261%
LUK : +9%,12.5000%,LUK : +6%,8.6957%,LUK : +6%,10.3261%
공격력 : +9%,7.5000%,최대 HP : +6%,8.6957%,최대 HP : +6%,10.3261%
마력 : +9%,7.5000%,최대 MP : +6%,8.6957%,최대 MP : +6%,10.3261%
크리티컬 확률 : +9%,10.0000%,공격력 : +6%,3.4783%,공격력 : +6%,4.1304%
데미지 : +9%,7.5000%,마력 : +6%,3.4783%,마력 : +6%,4.1304%
올스탯 : +6%,10.0000%,크리티컬 확률 : +8%,3.4783%,크리티컬 확률 : +8%,4.1304%
몬스터 방어율 무시 : +30%,7.5000%,데미지 : +6%,3.4783%,데미지 : +6%,4.1304%
,,올스탯 : +3%,3.4783%,올스탯 : +3%,4.1304%
,,공격 시 20% 확률로 300의 HP 회복,3.4783%,공격 시 20% 확률로 300의 HP 회복,4.1304%
,,공격 시 20% 확률로 165의 MP 회복,3.4783%,공격 시 20% 확률로 165의 MP 회복,4.1304%
,,몬스터 방어율 무시 : +15%,3.4783%,몬스터 방어율 무시 : +15%,4.1304%
,,STR : +9%,2.5000%,STR : +9%,0.6250%
,,DEX : +9%,2.5000%,DEX : +9%,0.6250%
,,INT : +9%,2.5000%,INT : +9%,0.6250%
,,LUK : +9%,2.5000%,LUK : +9%,0.6250%
,,공격력 : +9%,1.5000%,공격력 : +9%,0.3750%
,,마력 : +9%,1.5000%,마력 : +9%,0.3750%
,,크리티컬 확률 : +9%,2.0000%,크리티컬 확률 : +9%,0.5000%
,,데미지 : +9%,1.5000%,데미지 : +9%,0.3750%
,,올스탯 : +6%,2.0000%,올스탯 : +6%,0.5000%
,,몬스터 방어율 무시 : +30%,1.5000%,몬스터 방어율 무시 : +30%,0.3750%
