옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,8.3333%,STR : +6%,9.7561%,STR : +6%,11.5854%
DEX : +9%,8.3333%,DEX : +6%,9.7561%,DEX : +6%,11.5854%
INT : +9%,8.3333%,INT : +6%,9.7561%,INT : +6%,11.5854%
LUK : +9%,8.3333%,LUK : +6%,9.7561%,LUK : +6%,11.5854%
최대 HP : +9%,10.0000%,최대 HP : +6%,9.7561%,최대 HP : +6%,11.5854%
최대 MP : +9%,10.0000%,최대 MP : +6%,9.7561%,최대 MP : +6%,11.5854%
방어력 : +9%,6.6667%,방어력 : +6%,5.8537%,방어력 : +6%,6.9512%
올스탯 : +6%,6.6667%,올스탯 : +3%,3.9024%,올스탯 : +3%,4.6341%
캐릭터 기준 10레벨 당 STR : +1,1.6667%,몬스터 처치 시 15% 확률로 95의 HP 회복,5.8537%,몬스터 처치 시 15% 확률로 95의 HP 회복,6.9512%
캐릭터 기준 10레벨 당 DEX : +1,1.6667%,몬스터 처치 시 15% 확률로 95의 MP 회복,5.8537%,몬스터 처치 시 15% 확률로 95의 MP 회복,6.9512%
캐릭터 기준 10레벨 당 INT : +1,1.6667%,STR : +9%,1.6667%,STR : +9%,0.4167%
캐릭터 기준 10레벨 당 LUK : +1,1.6667%,DEX : +9%,1.6667%,DEX : +9%,0.4167%
피격 시 5% 확률로 데미지의 20% 무시,6.6667%,INT : +9%,1.6667%,INT : +9%,0.4167%
피격 시 5% 확률로 데미지의 40% 무시,6.6667%,LUK : +9%,1.6667%,LUK : +9%,0.4167%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,6.6667%,최대 HP : +9%,2.0000%,최대 HP : +9%,0.5000%
<쓸만한 샤프 아이즈> 스킬 사용
                                    가능,6.6667%,최대 MP : +9%,2.0000%,최대 MP : +9%,0.5000%
,,방어력 : +9%,1.3333%,방어력 : +9%,0.3333%
,,올스탯 : +6%,1.3333%,올스탯 : +6%,0.3333%
,,캐릭터 기준 10레벨 당 STR : +1,0.3333%,캐릭터 기준 10레벨 당 STR : +1,0.0833%
,,캐릭터 기준 10레벨 당 DEX : +1,0.3333%,캐릭터 기준 10레벨 당 DEX : +1,0.0833%
,,캐릭터 기준 10레벨 당 INT : +1,0.3333%,캐릭터 기준 10레벨 당 INT : +1,0.0833%
,,캐릭터 기준 10레벨 당 LUK : +1,0.3333%,캐릭터 기준 10레벨 당 LUK : +1,0.0833%
,,피격 시 5% 확률로 데미지의 20% 무시,1.3333%,피격 시 5% 확률로 데미지의 20% 무시,0.3333%
,,피격 시 5% 확률로 데미지의 40% 무시,1.3333%,피격 시 5% 확률로 데미지의 40% 무시,0.3333%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,1.3333%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.3333%
,,<쓸만한 샤프 아이즈> 스킬 사용 가능,1.3333%,<쓸만한 샤프 아이즈> 스킬 사용 가능,0.3333%
