옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,7.5758%,STR : +6%,10.5263%,STR : +6%,12.5000%
DEX : +9%,7.5758%,DEX : +6%,10.5263%,DEX : +6%,12.5000%
INT : +9%,7.5758%,INT : +6%,10.5263%,INT : +6%,12.5000%
LUK : +9%,7.5758%,LUK : +6%,10.5263%,LUK : +6%,12.5000%
최대 HP : +9%,9.0909%,최대 HP : +6%,10.5263%,최대 HP : +6%,12.5000%
최대 MP : +9%,9.0909%,최대 MP : +6%,10.5263%,최대 MP : +6%,12.5000%
방어력 : +9%,6.0606%,방어력 : +6%,6.3158%,방어력 : +6%,7.5000%
올스탯 : +6%,6.0606%,올스탯 : +3%,4.2105%,올스탯 : +3%,5.0000%
피격 시 5% 확률로 데미지의 20% 무시,6.0606%,피격 후 무적시간 : +1초,6.3158%,피격 후 무적시간 : +1초,7.5000%
피격 시 5% 확률로 데미지의 40% 무시,6.0606%,STR : +9%,1.5152%,STR : +9%,0.3788%
피격 후 무적시간 : +2초,6.0606%,DEX : +9%,1.5152%,DEX : +9%,0.3788%
피격 시 2% 확률로 7초간 무적,6.0606%,INT : +9%,1.5152%,INT : +9%,0.3788%
30% 확률로 받은 피해의 50%를 반사,6.0606%,LUK : +9%,1.5152%,LUK : +9%,0.3788%
30% 확률로 받은 피해의 70%를 반사,3.0303%,최대 HP : +9%,1.8182%,최대 HP : +9%,0.4545%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,6.0606%,최대 MP : +9%,1.8182%,최대 MP : +9%,0.4545%
,,방어력 : +9%,1.2121%,방어력 : +9%,0.3030%
,,올스탯 : +6%,1.2121%,올스탯 : +6%,0.3030%
,,피격 시 5% 확률로 데미지의 20% 무시,1.2121%,피격 시 5% 확률로 데미지의 20% 무시,0.3030%
,,피격 시 5% 확률로 데미지의 40% 무시,1.2121%,피격 시 5% 확률로 데미지의 40% 무시,0.3030%
,,피격 후 무적시간 : +2초,1.2121%,피격 후 무적시간 : +2초,0.3030%
,,피격 시 2% 확률로 7초간 무적,1.2121%,피격 시 2% 확률로 7초간 무적,0.3030%
,,30% 확률로 받은 피해의 50%를 반사,1.2121%,30% 확률로 받은 피해의 50%를 반사,0.3030%
,,30% 확률로 받은 피해의 70%를 반사,0.6061%,30% 확률로 받은 피해의 70%를 반사,0.1515%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,1.2121%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.3030%
