옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12,7.5000%,STR : +6,12.8571%,STR : +6,14.1429%
DEX : +12,7.5000%,DEX : +6,12.8571%,DEX : +6,14.1429%
INT : +12,7.5000%,INT : +6,12.8571%,INT : +6,14.1429%
LUK : +12,7.5000%,LUK : +6,12.8571%,LUK : +6,14.1429%
최대 HP : +100,7.5000%,최대 HP : +50,12.8571%,최대 HP : +50,14.1429%
최대 MP : +100,7.5000%,최대 MP : +50,12.8571%,최대 MP : +50,14.1429%
방어력 : +100,5.0000%,방어력 : +50,12.8571%,방어력 : +50,14.1429%
STR : +3%,7.5000%,STR : +12,0.7500%,STR : +12,0.0750%
DEX : +3%,7.5000%,DEX : +12,0.7500%,DEX : +12,0.0750%
INT : +3%,7.5000%,INT : +12,0.7500%,INT : +12,0.0750%
LUK : +3%,7.5000%,LUK : +12,0.7500%,LUK : +12,0.0750%
최대 HP : +3%,5.0000%,최대 HP : +100,0.7500%,최대 HP : +100,0.0750%
최대 MP : +3%,5.0000%,최대 MP : +100,0.7500%,최대 MP : +100,0.0750%
방어력 : +3%,5.0000%,방어력 : +100,0.5000%,방어력 : +100,0.0500%
올스탯 : +5,5.0000%,STR : +3%,0.7500%,STR : +3%,0.0750%
,,DEX : +3%,0.7500%,DEX : +3%,0.0750%
,,INT : +3%,0.7500%,INT : +3%,0.0750%
,,LUK : +3%,0.7500%,LUK : +3%,0.0750%
,,최대 HP : +3%,0.5000%,최대 HP : +3%,0.0500%
,,최대 MP : +3%,0.5000%,최대 MP : +3%,0.0500%
,,방어력 : +3%,0.5000%,방어력 : +3%,0.0500%
,,올스탯 : +5,0.5000%,올스탯 : +5,0.0500%
