옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12,6.8182%,STR : +6,10.8000%,STR : +6,11.8800%
DEX : +12,6.8182%,DEX : +6,10.8000%,DEX : +6,11.8800%
INT : +12,6.8182%,INT : +6,10.8000%,INT : +6,11.8800%
LUK : +12,6.8182%,LUK : +6,10.8000%,LUK : +6,11.8800%
최대 HP : +120,6.8182%,최대 HP : +60,10.8000%,최대 HP : +60,11.8800%
최대 MP : +120,6.8182%,최대 MP : +60,10.8000%,최대 MP : +60,11.8800%
이동속도 : +8,4.5455%,이동속도 : +4,7.2000%,이동속도 : +4,7.9200%
점프력 : +8,4.5455%,점프력 : +4,7.2000%,점프력 : +4,7.9200%
방어력 : +120,4.5455%,방어력 : +60,10.8000%,방어력 : +60,11.8800%
STR : +3%,6.8182%,STR : +12,0.6818%,STR : +12,0.0682%
DEX : +3%,6.8182%,DEX : +12,0.6818%,DEX : +12,0.0682%
INT : +3%,6.8182%,INT : +12,0.6818%,INT : +12,0.0682%
LUK : +3%,6.8182%,LUK : +12,0.6818%,LUK : +12,0.0682%
최대 HP : +3%,4.5455%,최대 HP : +120,0.6818%,최대 HP : +120,0.0682%
최대 MP : +3%,4.5455%,최대 MP : +120,0.6818%,최대 MP : +120,0.0682%
방어력 : +3%,4.5455%,이동속도 : +8,0.4545%,이동속도 : +8,0.0455%
올스탯 : +5,4.5455%,점프력 : +8,0.4545%,점프력 : +8,0.0455%
,,방어력 : +120,0.4545%,방어력 : +120,0.0455%
,,STR : +3%,0.6818%,STR : +3%,0.0682%
,,DEX : +3%,0.6818%,DEX : +3%,0.0682%
,,INT : +3%,0.6818%,INT : +3%,0.0682%
,,LUK : +3%,0.6818%,LUK : +3%,0.0682%
,,최대 HP : +3%,0.4545%,최대 HP : +3%,0.0455%
,,최대 MP : +3%,0.4545%,최대 MP : +3%,0.0455%
,,방어력 : +3%,0.4545%,방어력 : +3%,0.0455%
,,올스탯 : +5,0.4545%,올스탯 : +5,0.0455%
