옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12,6.1224%,STR : +6,12.2727%,STR : +6,13.5000%
DEX : +12,6.1224%,DEX : +6,12.2727%,DEX : +6,13.5000%
INT : +12,6.1224%,INT : +6,12.2727%,INT : +6,13.5000%
LUK : +12,6.1224%,LUK : +6,12.2727%,LUK : +6,13.5000%
최대 HP : +100,6.1224%,최대 HP : +50,12.2727%,최대 HP : +50,13.5000%
최대 MP : +100,6.1224%,최대 MP : +50,12.2727%,최대 MP : +50,13.5000%
공격력 : +12,4.0816%,공격력 : +6,8.1818%,공격력 : +6,9.0000%
마력 : +12,4.0816%,마력 : +6,8.1818%,마력 : +6,9.0000%
STR : +3%,6.1224%,STR : +12,0.6122%,STR : +12,0.0612%
DEX : +3%,6.1224%,DEX : +12,0.6122%,DEX : +12,0.0612%
INT : +3%,6.1224%,INT : +12,0.6122%,INT : +12,0.0612%
LUK : +3%,6.1224%,LUK : +12,0.6122%,LUK : +12,0.0612%
공격력 : +3%,2.0408%,최대 HP : +100,0.6122%,최대 HP : +100,0.0612%
마력 : +3%,2.0408%,최대 MP : +100,0.6122%,최대 MP : +100,0.0612%
크리티컬 확률 : +4%,2.0408%,공격력 : +12,0.4082%,공격력 : +12,0.0408%
데미지 : +3%,2.0408%,마력 : +12,0.4082%,마력 : +12,0.0408%
올스탯 : +5,4.0816%,STR : +3%,0.6122%,STR : +3%,0.0612%
공격 시 20% 확률로 200의 HP 회복,2.0408%,DEX : +3%,0.6122%,DEX : +3%,0.0612%
공격 시 20% 확률로 110의 MP 회복,2.0408%,INT : +3%,0.6122%,INT : +3%,0.0612%
공격 시 20% 확률로 5레벨 중독효과 적용,2.0408%,LUK : +3%,0.6122%,LUK : +3%,0.0612%
공격 시 10% 확률로 2레벨 기절효과 적용,2.0408%,공격력 : +3%,0.2041%,공격력 : +3%,0.0204%
공격 시 20% 확률로 2레벨 슬로우효과 적용,2.0408%,마력 : +3%,0.2041%,마력 : +3%,0.0204%
공격 시 20% 확률로 2레벨 암흑효과 적용,2.0408%,크리티컬 확률 : +4%,0.2041%,크리티컬 확률 : +4%,0.0204%
공격 시 10% 확률로 2레벨 빙결효과 적용,2.0408%,데미지 : +3%,0.2041%,데미지 : +3%,0.0204%
공격 시 10% 확률로 2레벨 봉인효과 적용,2.0408%,올스탯 : +5,0.4082%,올스탯 : +5,0.0408%
몬스터 방어율 무시 : +15%,2.0408%,공격 시 20% 확률로 200의 HP 회복,0.2041%,공격 시 20% 확률로 200의 HP 회복,0.0204%
,,공격 시 20% 확률로 110의 MP 회복,0.2041%,공격 시 20% 확률로 110의 MP 회복,0.0204%
,,공격 시 20% 확률로 5레벨 중독효과 적용,0.2041%,공격 시 20% 확률로 5레벨 중독효과 적용,0.0204%
,,공격 시 10% 확률로 2레벨 기절효과 적용,0.2041%,공격 시 10% 확률로 2레벨 기절효과 적용,0.0204%
,,공격 시 20% 확률로 2레벨 슬로우효과 적용,0.2041%,공격 시 20% 확률로 2레벨 슬로우효과 적용,0.0204%
,,공격 시 20% 확률로 2레벨 암흑효과 적용,0.2041%,공격 시 20% 확률로 2레벨 암흑효과 적용,0.0204%
,,공격 시 10% 확률로 2레벨 빙결효과 적용,0.2041%,공격 시 10% 확률로 2레벨 빙결효과 적용,0.0204%
,,공격 시 10% 확률로 2레벨 봉인효과 적용,0.2041%,공격 시 10% 확률로 2레벨 봉인효과 적용,0.0204%
,,몬스터 방어율 무시 : +15%,0.2041%,몬스터 방어율 무시 : +15%,0.0204%
