옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12,6.5217%,STR : +6,14.2105%,STR : +6,15.6316%
DEX : +12,6.5217%,DEX : +6,14.2105%,DEX : +6,15.6316%
INT : +12,6.5217%,INT : +6,14.2105%,INT : +6,15.6316%
LUK : +12,6.5217%,LUK : +6,14.2105%,LUK : +6,15.6316%
최대 HP : +100,6.5217%,최대 HP : +50,14.2105%,최대 HP : +50,15.6316%
공격력 : +12,4.3478%,공격력 : +6,9.4737%,공격력 : +6,10.4211%
마력 : +12,4.3478%,마력 : +6,9.4737%,마력 : +6,10.4211%
STR : +3%,6.5217%,STR : +12,0.6522%,STR : +12,0.0652%
DEX : +3%,6.5217%,DEX : +12,0.6522%,DEX : +12,0.0652%
INT : +3%,6.5217%,INT : +12,0.6522%,INT : +12,0.0652%
LUK : +3%,6.5217%,LUK : +12,0.6522%,LUK : +12,0.0652%
공격력 : +3%,2.1739%,최대 HP : +100,0.6522%,최대 HP : +100,0.0652%
마력 : +3%,2.1739%,공격력 : +12,0.4348%,공격력 : +12,0.0435%
크리티컬 확률 : +4%,2.1739%,마력 : +12,0.4348%,마력 : +12,0.0435%
데미지 : +3%,2.1739%,STR : +3%,0.6522%,STR : +3%,0.0652%
올스탯 : +5,4.3478%,DEX : +3%,0.6522%,DEX : +3%,0.0652%
공격 시 20% 확률로 200의 HP 회복,2.1739%,INT : +3%,0.6522%,INT : +3%,0.0652%
공격 시 20% 확률로 110의 MP 회복,2.1739%,LUK : +3%,0.6522%,LUK : +3%,0.0652%
공격 시 20% 확률로 5레벨 중독효과 적용,2.1739%,공격력 : +3%,0.2174%,공격력 : +3%,0.0217%
공격 시 10% 확률로 2레벨 기절효과 적용,2.1739%,마력 : +3%,0.2174%,마력 : +3%,0.0217%
공격 시 20% 확률로 2레벨 슬로우효과 적용,2.1739%,크리티컬 확률 : +4%,0.2174%,크리티컬 확률 : +4%,0.0217%
공격 시 20% 확률로 2레벨 암흑효과 적용,2.1739%,데미지 : +3%,0.2174%,데미지 : +3%,0.0217%
공격 시 10% 확률로 2레벨 빙결효과 적용,2.1739%,올스탯 : +5,0.4348%,올스탯 : +5,0.0435%
공격 시 10% 확률로 2레벨 봉인효과 적용,2.1739%,공격 시 20% 확률로 200의 HP 회복,0.2174%,공격 시 20% 확률로 200의 HP 회복,0.0217%
몬스터 방어율 무시 : +15%,2.1739%,공격 시 20% 확률로 110의 MP 회복,0.2174%,공격 시 20% 확률로 110의 MP 회복,0.0217%
,,공격 시 20% 확률로 5레벨 중독효과 적용,0.2174%,공격 시 20% 확률로 5레벨 중독효과 적용,0.0217%
,,공격 시 10% 확률로 2레벨 기절효과 적용,0.2174%,공격 시 10% 확률로 2레벨 기절효과 적용,0.0217%
,,공격 시 20% 확률로 2레벨 슬로우효과 적용,0.2174%,공격 시 20% 확률로 2레벨 슬로우효과 적용,0.0217%
,,공격 시 20% 확률로 2레벨 암흑효과 적용,0.2174%,공격 시 20% 확률로 2레벨 암흑효과 적용,0.0217%
,,공격 시 10% 확률로 2레벨 빙결효과 적용,0.2174%,공격 시 10% 확률로 2레벨 빙결효과 적용,0.0217%
,,공격 시 10% 확률로 2레벨 봉인효과 적용,0.2174%,공격 시 10% 확률로 2레벨 봉인효과 적용,0.0217%
,,몬스터 방어율 무시 : +15%,0.2174%,몬스터 방어율 무시 : +15%,0.0217%
