옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,9.3023%,STR : +9%,10.2273%,STR : +9%,11.2500%
DEX : +12%,9.3023%,DEX : +9%,10.2273%,DEX : +9%,11.2500%
INT : +12%,9.3023%,INT : +9%,10.2273%,INT : +9%,11.2500%
LUK : +12%,9.3023%,LUK : +9%,10.2273%,LUK : +9%,11.2500%
최대 HP : +12%,9.3023%,최대 HP : +9%,12.2727%,최대 HP : +9%,13.5000%
최대 MP : +12%,9.3023%,최대 MP : +9%,12.2727%,최대 MP : +9%,13.5000%
방어력 : +12%,9.3023%,방어력 : +9%,8.1818%,방어력 : +9%,9.0000%
올스탯 : +9%,6.9767%,올스탯 : +6%,8.1818%,올스탯 : +6%,9.0000%
모든 스킬의 MP 소모 : -15%,6.9767%,HP 회복 아이템 및 회복 스킬 효율 : +30%,8.1818%,HP 회복 아이템 및 회복 스킬 효율 : +30%,9.0000%
모든 스킬의 MP 소모 : -30%,6.9767%,STR : +12%,0.9302%,STR : +12%,0.0930%
메소 획득량 : +20%,6.9767%,DEX : +12%,0.9302%,DEX : +12%,0.0930%
아이템 드롭률 : +20%,6.9767%,INT : +12%,0.9302%,INT : +12%,0.0930%
,,LUK : +12%,0.9302%,LUK : +12%,0.0930%
,,최대 HP : +12%,0.9302%,최대 HP : +12%,0.0930%
,,최대 MP : +12%,0.9302%,최대 MP : +12%,0.0930%
,,방어력 : +12%,0.9302%,방어력 : +12%,0.0930%
,,올스탯 : +9%,0.6977%,올스탯 : +9%,0.0698%
,,모든 스킬의 MP 소모 : -15%,0.6977%,모든 스킬의 MP 소모 : -15%,0.0698%
,,모든 스킬의 MP 소모 : -30%,0.6977%,모든 스킬의 MP 소모 : -30%,0.0698%
,,메소 획득량 : +20%,0.6977%,메소 획득량 : +20%,0.0698%
,,아이템 드롭률 : +20%,0.6977%,아이템 드롭률 : +20%,0.0698%
