옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,12.9032%,STR : +9%,10.2273%,STR : +9%,11.2500%
DEX : +12%,12.9032%,DEX : +9%,10.2273%,DEX : +9%,11.2500%
INT : +12%,12.9032%,INT : +9%,10.2273%,INT : +9%,11.2500%
LUK : +12%,12.9032%,LUK : +9%,10.2273%,LUK : +9%,11.2500%
최대 HP : +12%,12.9032%,최대 HP : +9%,12.2727%,최대 HP : +9%,13.5000%
최대 MP : +12%,12.9032%,최대 MP : +9%,12.2727%,최대 MP : +9%,13.5000%
방어력 : +12%,12.9032%,방어력 : +9%,8.1818%,방어력 : +9%,9.0000%
올스탯 : +9%,9.6774%,올스탯 : +6%,8.1818%,올스탯 : +6%,9.0000%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,8.1818%,HP 회복 아이템 및 회복 스킬 효율 : +30%,9.0000%
,,STR : +12%,1.2903%,STR : +12%,0.1290%
,,DEX : +12%,1.2903%,DEX : +12%,0.1290%
,,INT : +12%,1.2903%,INT : +12%,0.1290%
,,LUK : +12%,1.2903%,LUK : +12%,0.1290%
,,최대 HP : +12%,1.2903%,최대 HP : +12%,0.1290%
,,최대 MP : +12%,1.2903%,최대 MP : +12%,0.1290%
,,방어력 : +12%,1.2903%,방어력 : +12%,0.1290%
,,올스탯 : +9%,0.9677%,올스탯 : +9%,0.0968%
