옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,10.8108%,STR : +9%,8.6538%,STR : +9%,9.5192%
DEX : +12%,10.8108%,DEX : +9%,8.6538%,DEX : +9%,9.5192%
INT : +12%,10.8108%,INT : +9%,8.6538%,INT : +9%,9.5192%
LUK : +12%,10.8108%,LUK : +9%,8.6538%,LUK : +9%,9.5192%
최대 HP : +12%,10.8108%,최대 HP : +9%,10.3846%,최대 HP : +9%,11.4231%
최대 MP : +12%,10.8108%,최대 MP : +9%,10.3846%,최대 MP : +9%,11.4231%
방어력 : +12%,10.8108%,방어력 : +9%,6.9231%,방어력 : +9%,7.6154%
올스탯 : +9%,8.1081%,올스탯 : +6%,6.9231%,올스탯 : +6%,7.6154%
피격 시 10% 확률로 데미지의 20% 무시,8.1081%,피격 시 5% 확률로 데미지의 20% 무시,6.9231%,피격 시 5% 확률로 데미지의 20% 무시,7.6154%
피격 시 10% 확률로 데미지의 40% 무시,8.1081%,피격 시 5% 확률로 데미지의 40% 무시,6.9231%,피격 시 5% 확률로 데미지의 40% 무시,7.6154%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,6.9231%,HP 회복 아이템 및 회복 스킬 효율 : +30%,7.6154%
,,STR : +12%,1.0811%,STR : +12%,0.1081%
,,DEX : +12%,1.0811%,DEX : +12%,0.1081%
,,INT : +12%,1.0811%,INT : +12%,0.1081%
,,LUK : +12%,1.0811%,LUK : +12%,0.1081%
,,최대 HP : +12%,1.0811%,최대 HP : +12%,0.1081%
,,최대 MP : +12%,1.0811%,최대 MP : +12%,0.1081%
,,방어력 : +12%,1.0811%,방어력 : +12%,0.1081%
,,올스탯 : +9%,0.8108%,올스탯 : +9%,0.0811%
,,피격 시 10% 확률로 데미지의 20% 무시,0.8108%,피격 시 10% 확률로 데미지의 20% 무시,0.0811%
,,피격 시 10% 확률로 데미지의 40% 무시,0.8108%,피격 시 10% 확률로 데미지의 40% 무시,0.0811%
