옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,9.7561%,STR : +9%,10.0000%,STR : +9%,11.0000%
DEX : +12%,9.7561%,DEX : +9%,10.0000%,DEX : +9%,11.0000%
INT : +12%,9.7561%,INT : +9%,10.0000%,INT : +9%,11.0000%
LUK : +12%,9.7561%,LUK : +9%,10.0000%,LUK : +9%,11.0000%
공격력 : +12%,4.8780%,공격력 : +9%,6.0000%,공격력 : +9%,6.6000%
마력 : +12%,4.8780%,마력 : +9%,6.0000%,마력 : +9%,6.6000%
크리티컬 확률 : +12%,4.8780%,크리티컬 확률 : +9%,8.0000%,크리티컬 확률 : +9%,8.8000%
데미지 : +12%,4.8780%,데미지 : +9%,6.0000%,데미지 : +9%,6.6000%
올스탯 : +9%,7.3171%,올스탯 : +6%,8.0000%,올스탯 : +6%,8.8000%
캐릭터 기준 10레벨 당 공격력 : +1,4.8780%,몬스터 방어율 무시 : +30%,6.0000%,몬스터 방어율 무시 : +30%,6.6000%
캐릭터 기준 10레벨 당 마력 : +1,4.8780%,보스 몬스터 공격 시 데미지 : +20%,6.0000%,보스 몬스터 공격 시 데미지 : +20%,6.6000%
몬스터 방어율 무시 : +35%,4.8780%,보스 몬스터 공격 시 데미지 : +30%,4.0000%,보스 몬스터 공격 시 데미지 : +30%,4.4000%
몬스터 방어율 무시 : +40%,4.8780%,STR : +12%,0.9756%,STR : +12%,0.0976%
보스 몬스터 공격 시 데미지 : +30%,4.8780%,DEX : +12%,0.9756%,DEX : +12%,0.0976%
보스 몬스터 공격 시 데미지 : +35%,4.8780%,INT : +12%,0.9756%,INT : +12%,0.0976%
보스 몬스터 공격 시 데미지 : +40%,4.8780%,LUK : +12%,0.9756%,LUK : +12%,0.0976%
,,공격력 : +12%,0.4878%,공격력 : +12%,0.0488%
,,마력 : +12%,0.4878%,마력 : +12%,0.0488%
,,크리티컬 확률 : +12%,0.4878%,크리티컬 확률 : +12%,0.0488%
,,데미지 : +12%,0.4878%,데미지 : +12%,0.0488%
,,올스탯 : +9%,0.7317%,올스탯 : +9%,0.0732%
,,캐릭터 기준 10레벨 당 공격력 : +1,0.4878%,캐릭터 기준 10레벨 당 공격력 : +1,0.0488%
,,캐릭터 기준 10레벨 당 마력 : +1,0.4878%,캐릭터 기준 10레벨 당 마력 : +1,0.0488%
,,몬스터 방어율 무시 : +35%,0.4878%,몬스터 방어율 무시 : +35%,0.0488%
,,몬스터 방어율 무시 : +40%,0.4878%,몬스터 방어율 무시 : +40%,0.0488%
,,보스 몬스터 공격 시 데미지 : +30%,0.4878%,보스 몬스터 공격 시 데미지 : +30%,0.0488%
,,보스 몬스터 공격 시 데미지 : +35%,0.4878%,보스 몬스터 공격 시 데미지 : +35%,0.0488%
,,보스 몬스터 공격 시 데미지 : +40%,0.4878%,보스 몬스터 공격 시 데미지 : +40%,0.0488%
