옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,8.5106%,STR : +9%,8.4906%,STR : +9%,9.3396%
DEX : +12%,8.5106%,DEX : +9%,8.4906%,DEX : +9%,9.3396%
INT : +12%,8.5106%,INT : +9%,8.4906%,INT : +9%,9.3396%
LUK : +12%,8.5106%,LUK : +9%,8.4906%,LUK : +9%,9.3396%
공격력 : +12%,4.2553%,공격력 : +9%,5.0943%,공격력 : +9%,5.6038%
마력 : +12%,4.2553%,마력 : +9%,5.0943%,마력 : +9%,5.6038%
크리티컬 확률 : +12%,4.2553%,크리티컬 확률 : +9%,6.7925%,크리티컬 확률 : +9%,7.4717%
데미지 : +12%,4.2553%,데미지 : +9%,5.0943%,데미지 : +9%,5.6038%
올스탯 : +9%,6.3830%,올스탯 : +6%,6.7925%,올스탯 : +6%,7.4717%
캐릭터 기준 10레벨 당 공격력 : +1,4.2553%,몬스터 방어율 무시 : +30%,5.0943%,몬스터 방어율 무시 : +30%,5.6038%
캐릭터 기준 10레벨 당 마력 : +1,4.2553%,피격 시 5% 확률로 데미지의 20% 무시,6.7925%,피격 시 5% 확률로 데미지의 20% 무시,7.4717%
몬스터 방어율 무시 : +35%,4.2553%,피격 시 5% 확률로 데미지의 40% 무시,6.7925%,피격 시 5% 확률로 데미지의 40% 무시,7.4717%
몬스터 방어율 무시 : +40%,4.2553%,보스 몬스터 공격 시 데미지 : +20%,5.0943%,보스 몬스터 공격 시 데미지 : +20%,5.6038%
피격 시 10% 확률로 데미지의 20% 무시,6.3830%,보스 몬스터 공격 시 데미지 : +30%,3.3962%,보스 몬스터 공격 시 데미지 : +30%,3.7358%
피격 시 10% 확률로 데미지의 40% 무시,6.3830%,STR : +12%,0.8511%,STR : +12%,0.0851%
보스 몬스터 공격 시 데미지 : +30%,4.2553%,DEX : +12%,0.8511%,DEX : +12%,0.0851%
보스 몬스터 공격 시 데미지 : +35%,4.2553%,INT : +12%,0.8511%,INT : +12%,0.0851%
보스 몬스터 공격 시 데미지 : +40%,4.2553%,LUK : +12%,0.8511%,LUK : +12%,0.0851%
,,공격력 : +12%,0.4255%,공격력 : +12%,0.0426%
,,마력 : +12%,0.4255%,마력 : +12%,0.0426%
,,크리티컬 확률 : +12%,0.4255%,크리티컬 확률 : +12%,0.0426%
,,데미지 : +12%,0.4255%,데미지 : +12%,0.0426%
,,올스탯 : +9%,0.6383%,올스탯 : +9%,0.0638%
,,캐릭터 기준 10레벨 당 공격력 : +1,0.4255%,캐릭터 기준 10레벨 당 공격력 : +1,0.0426%
,,캐릭터 기준 10레벨 당 마력 : +1,0.4255%,캐릭터 기준 10레벨 당 마력 : +1,0.0426%
,,몬스터 방어율 무시 : +35%,0.4255%,몬스터 방어율 무시 : +35%,0.0426%
,,몬스터 방어율 무시 : +40%,0.4255%,몬스터 방어율 무시 : +40%,0.0426%
,,피격 시 10% 확률로 데미지의 20% 무시,0.6383%,피격 시 10% 확률로 데미지의 20% 무시,0.0638%
,,피격 시 10% 확률로 데미지의 40% 무시,0.6383%,피격 시 10% 확률로 데미지의 40% 무시,0.0638%
,,보스 몬스터 공격 시 데미지 : +30%,0.4255%,보스 몬스터 공격 시 데미지 : +30%,0.0426%
,,보스 몬스터 공격 시 데미지 : +35%,0.4255%,보스 몬스터 공격 시 데미지 : +35%,0.0426%
,,보스 몬스터 공격 시 데미지 : +40%,0.4255%,보스 몬스터 공격 시 데미지 : +40%,0.0426%
