옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,11.4286%,STR : +9%,11.2500%,STR : +9%,12.3750%
DEX : +12%,11.4286%,DEX : +9%,11.2500%,DEX : +9%,12.3750%
INT : +12%,11.4286%,INT : +9%,11.2500%,INT : +9%,12.3750%
LUK : +12%,11.4286%,LUK : +9%,11.2500%,LUK : +9%,12.3750%
공격력 : +12%,5.7143%,공격력 : +9%,6.7500%,공격력 : +9%,7.4250%
마력 : +12%,5.7143%,마력 : +9%,6.7500%,마력 : +9%,7.4250%
크리티컬 확률 : +12%,5.7143%,크리티컬 확률 : +9%,9.0000%,크리티컬 확률 : +9%,9.9000%
데미지 : +12%,5.7143%,데미지 : +9%,6.7500%,데미지 : +9%,7.4250%
올스탯 : +9%,8.5714%,올스탯 : +6%,9.0000%,올스탯 : +6%,9.9000%
캐릭터 기준 10레벨 당 공격력 : +1,5.7143%,몬스터 방어율 무시 : +30%,6.7500%,몬스터 방어율 무시 : +30%,7.4250%
캐릭터 기준 10레벨 당 마력 : +1,5.7143%,STR : +12%,1.1429%,STR : +12%,0.1143%
몬스터 방어율 무시 : +35%,5.7143%,DEX : +12%,1.1429%,DEX : +12%,0.1143%
몬스터 방어율 무시 : +40%,5.7143%,INT : +12%,1.1429%,INT : +12%,0.1143%
,,LUK : +12%,1.1429%,LUK : +12%,0.1143%
,,공격력 : +12%,0.5714%,공격력 : +12%,0.0571%
,,마력 : +12%,0.5714%,마력 : +12%,0.0571%
,,크리티컬 확률 : +12%,0.5714%,크리티컬 확률 : +12%,0.0571%
,,데미지 : +12%,0.5714%,데미지 : +12%,0.0571%
,,올스탯 : +9%,0.8571%,올스탯 : +9%,0.0857%
,,캐릭터 기준 10레벨 당 공격력 : +1,0.5714%,캐릭터 기준 10레벨 당 공격력 : +1,0.0571%
,,캐릭터 기준 10레벨 당 마력 : +1,0.5714%,캐릭터 기준 10레벨 당 마력 : +1,0.0571%
,,몬스터 방어율 무시 : +35%,0.5714%,몬스터 방어율 무시 : +35%,0.0571%
,,몬스터 방어율 무시 : +40%,0.5714%,몬스터 방어율 무시 : +40%,0.0571%
