옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,10.2564%,STR : +9%,8.0357%,STR : +9%,8.8393%
DEX : +12%,10.2564%,DEX : +9%,8.0357%,DEX : +9%,8.8393%
INT : +12%,10.2564%,INT : +9%,8.0357%,INT : +9%,8.8393%
LUK : +12%,10.2564%,LUK : +9%,8.0357%,LUK : +9%,8.8393%
최대 HP : +12%,10.2564%,최대 HP : +9%,9.6429%,최대 HP : +9%,10.6071%
최대 MP : +12%,10.2564%,최대 MP : +9%,9.6429%,최대 MP : +9%,10.6071%
방어력 : +12%,10.2564%,방어력 : +9%,6.4286%,방어력 : +9%,7.0714%
올스탯 : +9%,7.6923%,올스탯 : +6%,6.4286%,올스탯 : +6%,7.0714%
상태 이상 내성 : +10,5.1282%,피격 시 5% 확률로 데미지의 20% 무시,6.4286%,피격 시 5% 확률로 데미지의 20% 무시,7.0714%
피격 시 10% 확률로 데미지의 20% 무시,7.6923%,피격 시 5% 확률로 데미지의 40% 무시,6.4286%,피격 시 5% 확률로 데미지의 40% 무시,7.0714%
피격 시 10% 확률로 데미지의 40% 무시,7.6923%,HP 회복 아이템 및 회복 스킬 효율 : +30%,6.4286%,HP 회복 아이템 및 회복 스킬 효율 : +30%,7.0714%
,,<쓸만한 하이퍼 바디> 스킬 사용 가능,6.4286%,<쓸만한 하이퍼 바디> 스킬 사용 가능,7.0714%
,,STR : +12%,1.0256%,STR : +12%,0.1026%
,,DEX : +12%,1.0256%,DEX : +12%,0.1026%
,,INT : +12%,1.0256%,INT : +12%,0.1026%
,,LUK : +12%,1.0256%,LUK : +12%,0.1026%
,,최대 HP : +12%,1.0256%,최대 HP : +12%,0.1026%
,,최대 MP : +12%,1.0256%,최대 MP : +12%,0.1026%
,,방어력 : +12%,1.0256%,방어력 : +12%,0.1026%
,,올스탯 : +9%,0.7692%,올스탯 : +9%,0.0769%
,,상태 이상 내성 : +10,0.5128%,상태 이상 내성 : +10,0.0513%
,,피격 시 10% 확률로 데미지의 20% 무시,0.7692%,피격 시 10% 확률로 데미지의 20% 무시,0.0769%
,,피격 시 10% 확률로 데미지의 40% 무시,0.7692%,피격 시 10% 확률로 데미지의 40% 무시,0.0769%
