옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +12%,8.8889%,STR : +9%,6.8182%,STR : +9%,7.5000%
DEX : +12%,8.8889%,DEX : +9%,6.8182%,DEX : +9%,7.5000%
INT : +12%,8.8889%,INT : +9%,6.8182%,INT : +9%,7.5000%
LUK : +12%,8.8889%,LUK : +9%,6.8182%,LUK : +9%,7.5000%
최대 HP : +12%,8.8889%,최대 HP : +9%,8.1818%,최대 HP : +9%,9.0000%
최대 MP : +12%,8.8889%,최대 MP : +9%,8.1818%,최대 MP : +9%,9.0000%
방어력 : +12%,8.8889%,방어력 : +9%,5.4545%,방어력 : +9%,6.0000%
올스탯 : +9%,6.6667%,올스탯 : +6%,5.4545%,올스탯 : +6%,6.0000%
모든 속성 내성 : +10%,4.4444%,피격 시 5% 확률로 데미지의 20% 무시,5.4545%,피격 시 5% 확률로 데미지의 20% 무시,6.0000%
피격 시 10% 확률로 데미지의 20% 무시,6.6667%,피격 시 5% 확률로 데미지의 40% 무시,5.4545%,피격 시 5% 확률로 데미지의 40% 무시,6.0000%
피격 시 10% 확률로 데미지의 40% 무시,6.6667%,피격 후 무적시간 : +2초,5.4545%,피격 후 무적시간 : +2초,6.0000%
피격 후 무적시간 : +3초,6.6667%,피격 시 2% 확률로 7초간 무적,5.4545%,피격 시 2% 확률로 7초간 무적,6.0000%
피격 시 4% 확률로 7초간 무적,6.6667%,30% 확률로 받은 피해의 50%를 반사,5.4545%,30% 확률로 받은 피해의 50%를 반사,6.0000%
,,30% 확률로 받은 피해의 70%를 반사,2.7273%,30% 확률로 받은 피해의 70%를 반사,3.0000%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,5.4545%,HP 회복 아이템 및 회복 스킬 효율 : +30%,6.0000%
,,STR : +12%,0.8889%,STR : +12%,0.0889%
,,DEX : +12%,0.8889%,DEX : +12%,0.0889%
,,INT : +12%,0.8889%,INT : +12%,0.0889%
,,LUK : +12%,0.8889%,LUK : +12%,0.0889%
,,최대 HP : +12%,0.8889%,최대 HP : +12%,0.0889%
,,최대 MP : +12%,0.8889%,최대 MP : +12%,0.0889%
,,방어력 : +12%,0.8889%,방어력 : +12%,0.0889%
,,올스탯 : +9%,0.6667%,올스탯 : +9%,0.0667%
,,모든 속성 내성 : +10%,0.4444%,모든 속성 내성 : +10%,0.0444%
,,피격 시 10% 확률로 데미지의 20% 무시,0.6667%,피격 시 10% 확률로 데미지의 20% 무시,0.0667%
,,피격 시 10% 확률로 데미지의 40% 무시,0.6667%,피격 시 10% 확률로 데미지의 40% 무시,0.0667%
,,피격 후 무적시간 : +3초,0.6667%,피격 후 무적시간 : +3초,0.0667%
,,피격 시 4% 확률로 7초간 무적,0.6667%,피격 시 4% 확률로 7초간 무적,0.0667%
