옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +6%,13.1579%,STR : +12,6.7500%,STR : +12,7.4250%
DEX : +6%,13.1579%,DEX : +12,6.7500%,DEX : +12,7.4250%
INT : +6%,13.1579%,INT : +12,6.7500%,INT : +12,7.4250%
LUK : +6%,13.1579%,LUK : +12,6.7500%,LUK : +12,7.4250%
최대 HP : +6%,13.1579%,최대 HP : +120,6.7500%,최대 HP : +120,7.4250%
최대 MP : +6%,13.1579%,최대 MP : +120,6.7500%,최대 MP : +120,7.4250%
방어력 : +6%,7.8947%,방어력 : +120,4.5000%,방어력 : +120,4.9500%
올스탯 : +3%,5.2632%,STR : +3%,6.7500%,STR : +3%,7.4250%
피격 후 무적시간 : +1초,7.8947%,DEX : +3%,6.7500%,DEX : +3%,7.4250%
,,INT : +3%,6.7500%,INT : +3%,7.4250%
,,LUK : +3%,6.7500%,LUK : +3%,7.4250%
,,최대 HP : +3%,4.5000%,최대 HP : +3%,4.9500%
,,최대 MP : +3%,4.5000%,최대 MP : +3%,4.9500%
,,방어력 : +3%,4.5000%,방어력 : +3%,4.9500%
,,올스탯 : +5,4.5000%,올스탯 : +5,4.9500%
,,STR : +6%,1.3158%,STR : +6%,0.1316%
,,DEX : +6%,1.3158%,DEX : +6%,0.1316%
,,INT : +6%,1.3158%,INT : +6%,0.1316%
,,LUK : +6%,1.3158%,LUK : +6%,0.1316%
,,최대 HP : +6%,1.3158%,최대 HP : +6%,0.1316%
,,최대 MP : +6%,1.3158%,최대 MP : +6%,0.1316%
,,방어력 : +6%,0.7895%,방어력 : +6%,0.0789%
,,올스탯 : +3%,0.5263%,올스탯 : +3%,0.0526%
,,피격 후 무적시간 : +1초,0.7895%,피격 후 무적시간 : +1초,0.0789%
