옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +6%,14.2857%,STR : +12,6.1364%,STR : +12,6.7500%
DEX : +6%,14.2857%,DEX : +12,6.1364%,DEX : +12,6.7500%
INT : +6%,14.2857%,INT : +12,6.1364%,INT : +12,6.7500%
LUK : +6%,14.2857%,LUK : +12,6.1364%,LUK : +12,6.7500%
최대 HP : +6%,14.2857%,최대 HP : +120,6.1364%,최대 HP : +120,6.7500%
최대 MP : +6%,14.2857%,최대 MP : +120,6.1364%,최대 MP : +120,6.7500%
방어력 : +6%,8.5714%,이동속도 : +8,4.0909%,이동속도 : +8,4.5000%
올스탯 : +3%,5.7143%,점프력 : +8,4.0909%,점프력 : +8,4.5000%
,,방어력 : +120,4.0909%,방어력 : +120,4.5000%
,,STR : +3%,6.1364%,STR : +3%,6.7500%
,,DEX : +3%,6.1364%,DEX : +3%,6.7500%
,,INT : +3%,6.1364%,INT : +3%,6.7500%
,,LUK : +3%,6.1364%,LUK : +3%,6.7500%
,,최대 HP : +3%,4.0909%,최대 HP : +3%,4.5000%
,,최대 MP : +3%,4.0909%,최대 MP : +3%,4.5000%
,,방어력 : +3%,4.0909%,방어력 : +3%,4.5000%
,,올스탯 : +5,4.0909%,올스탯 : +5,4.5000%
,,STR : +6%,1.4286%,STR : +6%,0.1429%
,,DEX : +6%,1.4286%,DEX : +6%,0.1429%
,,INT : +6%,1.4286%,INT : +6%,0.1429%
,,LUK : +6%,1.4286%,LUK : +6%,0.1429%
,,최대 HP : +6%,1.4286%,최대 HP : +6%,0.1429%
,,최대 MP : +6%,1.4286%,최대 MP : +6%,0.1429%
,,방어력 : +6%,0.8571%,방어력 : +6%,0.0857%
,,올스탯 : +3%,0.5714%,올스탯 : +3%,0.0571%
