옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +6%,12.1951%,STR : +12,6.7500%,STR : +12,7.4250%
DEX : +6%,12.1951%,DEX : +12,6.7500%,DEX : +12,7.4250%
INT : +6%,12.1951%,INT : +12,6.7500%,INT : +12,7.4250%
LUK : +6%,12.1951%,LUK : +12,6.7500%,LUK : +12,7.4250%
최대 HP : +6%,12.1951%,최대 HP : +120,6.7500%,최대 HP : +120,7.4250%
최대 MP : +6%,12.1951%,최대 MP : +120,6.7500%,최대 MP : +120,7.4250%
방어력 : +6%,7.3171%,방어력 : +120,4.5000%,방어력 : +120,4.9500%
올스탯 : +3%,4.8780%,STR : +3%,6.7500%,STR : +3%,7.4250%
몬스터 처치 시 15% 확률로 95의 HP 회복,7.3171%,DEX : +3%,6.7500%,DEX : +3%,7.4250%
몬스터 처치 시 15% 확률로 95의 MP 회복,7.3171%,INT : +3%,6.7500%,INT : +3%,7.4250%
,,LUK : +3%,6.7500%,LUK : +3%,7.4250%
,,최대 HP : +3%,4.5000%,최대 HP : +3%,4.9500%
,,최대 MP : +3%,4.5000%,최대 MP : +3%,4.9500%
,,방어력 : +3%,4.5000%,방어력 : +3%,4.9500%
,,올스탯 : +5,4.5000%,올스탯 : +5,4.9500%
,,STR : +6%,1.2195%,STR : +6%,0.1220%
,,DEX : +6%,1.2195%,DEX : +6%,0.1220%
,,INT : +6%,1.2195%,INT : +6%,0.1220%
,,LUK : +6%,1.2195%,LUK : +6%,0.1220%
,,최대 HP : +6%,1.2195%,최대 HP : +6%,0.1220%
,,최대 MP : +6%,1.2195%,최대 MP : +6%,0.1220%
,,방어력 : +6%,0.7317%,방어력 : +6%,0.0732%
,,올스탯 : +3%,0.4878%,올스탯 : +3%,0.0488%
,,몬스터 처치 시 15% 확률로 95의 HP 회복,0.7317%,몬스터 처치 시 15% 확률로 95의 HP 회복,0.0732%
,,몬스터 처치 시 15% 확률로 95의 MP 회복,0.7317%,몬스터 처치 시 15% 확률로 95의 MP 회복,0.0732%
