옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +6%,12.1951%,STR : +12,5.8696%,STR : +12,6.4565%
DEX : +6%,12.1951%,DEX : +12,5.8696%,DEX : +12,6.4565%
INT : +6%,12.1951%,INT : +12,5.8696%,INT : +12,6.4565%
LUK : +6%,12.1951%,LUK : +12,5.8696%,LUK : +12,6.4565%
최대 HP : +6%,12.1951%,최대 HP : +100,5.8696%,최대 HP : +100,6.4565%
공격력 : +6%,4.8780%,공격력 : +12,3.9130%,공격력 : +12,4.3043%
마력 : +6%,4.8780%,마력 : +12,3.9130%,마력 : +12,4.3043%
크리티컬 확률 : +8%,4.8780%,STR : +3%,5.8696%,STR : +3%,6.4565%
데미지 : +6%,4.8780%,DEX : +3%,5.8696%,DEX : +3%,6.4565%
올스탯 : +3%,4.8780%,INT : +3%,5.8696%,INT : +3%,6.4565%
공격 시 20% 확률로 300의 HP 회복,4.8780%,LUK : +3%,5.8696%,LUK : +3%,6.4565%
공격 시 20% 확률로 165의 MP 회복,4.8780%,공격력 : +3%,1.9565%,공격력 : +3%,2.1522%
몬스터 방어율 무시 : +15%,4.8780%,마력 : +3%,1.9565%,마력 : +3%,2.1522%
,,크리티컬 확률 : +4%,1.9565%,크리티컬 확률 : +4%,2.1522%
,,데미지 : +3%,1.9565%,데미지 : +3%,2.1522%
,,올스탯 : +5,3.9130%,올스탯 : +5,4.3043%
,,공격 시 20% 확률로 200의 HP 회복,1.9565%,공격 시 20% 확률로 200의 HP 회복,2.1522%
,,공격 시 20% 확률로 110의 MP 회복,1.9565%,공격 시 20% 확률로 110의 MP 회복,2.1522%
,,공격 시 20% 확률로 5레벨 중독효과 적용,1.9565%,공격 시 20% 확률로 5레벨 중독효과 적용,2.1522%
,,공격 시 10% 확률로 2레벨 기절효과 적용,1.9565%,공격 시 10% 확률로 2레벨 기절효과 적용,2.1522%
,,공격 시 20% 확률로 2레벨 슬로우효과 적용,1.9565%,공격 시 20% 확률로 2레벨 슬로우효과 적용,2.1522%
,,공격 시 20% 확률로 2레벨 암흑효과 적용,1.9565%,공격 시 20% 확률로 2레벨 암흑효과 적용,2.1522%
,,공격 시 10% 확률로 2레벨 빙결효과 적용,1.9565%,공격 시 10% 확률로 2레벨 빙결효과 적용,2.1522%
,,공격 시 10% 확률로 2레벨 봉인효과 적용,1.9565%,공격 시 10% 확률로 2레벨 봉인효과 적용,2.1522%
,,몬스터 방어율 무시 : +15%,1.9565%,몬스터 방어율 무시 : +15%,2.1522%
,,STR : +6%,1.2195%,STR : +6%,0.1220%
,,DEX : +6%,1.2195%,DEX : +6%,0.1220%
,,INT : +6%,1.2195%,INT : +6%,0.1220%
,,LUK : +6%,1.2195%,LUK : +6%,0.1220%
,,최대 HP : +6%,1.2195%,최대 HP : +6%,0.1220%
,,공격력 : +6%,0.4878%,공격력 : +6%,0.0488%
,,마력 : +6%,0.4878%,마력 : +6%,0.0488%
,,크리티컬 확률 : +8%,0.4878%,크리티컬 확률 : +8%,0.0488%
,,데미지 : +6%,0.4878%,데미지 : +6%,0.0488%
,,올스탯 : +3%,0.4878%,올스탯 : +3%,0.0488%
,,공격 시 20% 확률로 300의 HP 회복,0.4878%,공격 시 20% 확률로 300의 HP 회복,0.0488%
,,공격 시 20% 확률로 165의 MP 회복,0.4878%,공격 시 20% 확률로 165의 MP 회복,0.0488%
,,몬스터 방어율 무시 : +15%,0.4878%,몬스터 방어율 무시 : +15%,0.0488%
