옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,11.3636%,STR : +6%,12.8571%,STR : +6%,14.1429%
DEX : +9%,11.3636%,DEX : +6%,12.8571%,DEX : +6%,14.1429%
INT : +9%,11.3636%,INT : +6%,12.8571%,INT : +6%,14.1429%
LUK : +9%,11.3636%,LUK : +6%,12.8571%,LUK : +6%,14.1429%
최대 HP : +9%,13.6364%,최대 HP : +6%,12.8571%,최대 HP : +6%,14.1429%
최대 MP : +9%,13.6364%,최대 MP : +6%,12.8571%,최대 MP : +6%,14.1429%
방어력 : +9%,9.0909%,방어력 : +6%,7.7143%,방어력 : +6%,8.4857%
올스탯 : +6%,9.0909%,올스탯 : +3%,5.1429%,올스탯 : +3%,5.6571%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,9.0909%,STR : +9%,1.1364%,STR : +9%,0.1136%
,,DEX : +9%,1.1364%,DEX : +9%,0.1136%
,,INT : +9%,1.1364%,INT : +9%,0.1136%
,,LUK : +9%,1.1364%,LUK : +9%,0.1136%
,,최대 HP : +9%,1.3636%,최대 HP : +9%,0.1364%
,,최대 MP : +9%,1.3636%,최대 MP : +9%,0.1364%
,,방어력 : +9%,0.9091%,방어력 : +9%,0.0909%
,,올스탯 : +6%,0.9091%,올스탯 : +6%,0.0909%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.9091%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.0909%
