옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,11.1111%,STR : +6%,9.7826%,STR : +6%,10.7609%
DEX : +9%,11.1111%,DEX : +6%,9.7826%,DEX : +6%,10.7609%
INT : +9%,11.1111%,INT : +6%,9.7826%,INT : +6%,10.7609%
LUK : +9%,11.1111%,LUK : +6%,9.7826%,LUK : +6%,10.7609%
공격력 : +9%,6.6667%,최대 HP : +6%,9.7826%,최대 HP : +6%,10.7609%
마력 : +9%,6.6667%,최대 MP : +6%,9.7826%,최대 MP : +6%,10.7609%
크리티컬 확률 : +9%,8.8889%,공격력 : +6%,3.9130%,공격력 : +6%,4.3043%
데미지 : +9%,6.6667%,마력 : +6%,3.9130%,마력 : +6%,4.3043%
올스탯 : +6%,8.8889%,크리티컬 확률 : +8%,3.9130%,크리티컬 확률 : +8%,4.3043%
몬스터 방어율 무시 : +30%,6.6667%,데미지 : +6%,3.9130%,데미지 : +6%,4.3043%
보스 몬스터 공격 시 데미지 : +20%,6.6667%,올스탯 : +3%,3.9130%,올스탯 : +3%,4.3043%
보스 몬스터 공격 시 데미지 : +30%,4.4444%,공격 시 20% 확률로 360의 HP 회복,3.9130%,공격 시 20% 확률로 360의 HP 회복,4.3043%
,,공격 시 20% 확률로 180의 MP 회복,3.9130%,공격 시 20% 확률로 180의 MP 회복,4.3043%
,,몬스터 방어율 무시 : +15%,3.9130%,몬스터 방어율 무시 : +15%,4.3043%
,,STR : +9%,1.1111%,STR : +9%,0.1111%
,,DEX : +9%,1.1111%,DEX : +9%,0.1111%
,,INT : +9%,1.1111%,INT : +9%,0.1111%
,,LUK : +9%,1.1111%,LUK : +9%,0.1111%
,,공격력 : +9%,0.6667%,공격력 : +9%,0.0667%
,,마력 : +9%,0.6667%,마력 : +9%,0.0667%
,,크리티컬 확률 : +9%,0.8889%,크리티컬 확률 : +9%,0.0889%
,,데미지 : +9%,0.6667%,데미지 : +9%,0.0667%
,,올스탯 : +6%,0.8889%,올스탯 : +6%,0.0889%
,,몬스터 방어율 무시 : +30%,0.6667%,몬스터 방어율 무시 : +30%,0.0667%
,,보스 몬스터 공격 시 데미지 : +20%,0.6667%,보스 몬스터 공격 시 데미지 : +20%,0.0667%
,,보스 몬스터 공격 시 데미지 : +30%,0.4444%,보스 몬스터 공격 시 데미지 : +30%,0.0444%
