옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,9.4340%,STR : +6%,9.7826%,STR : +6%,10.7609%
DEX : +9%,9.4340%,DEX : +6%,9.7826%,DEX : +6%,10.7609%
INT : +9%,9.4340%,INT : +6%,9.7826%,INT : +6%,10.7609%
LUK : +9%,9.4340%,LUK : +6%,9.7826%,LUK : +6%,10.7609%
공격력 : +9%,5.6604%,최대 HP : +6%,9.7826%,최대 HP : +6%,10.7609%
마력 : +9%,5.6604%,최대 MP : +6%,9.7826%,최대 MP : +6%,10.7609%
크리티컬 확률 : +9%,7.5472%,공격력 : +6%,3.9130%,공격력 : +6%,4.3043%
데미지 : +9%,5.6604%,마력 : +6%,3.9130%,마력 : +6%,4.3043%
올스탯 : +6%,7.5472%,크리티컬 확률 : +8%,3.9130%,크리티컬 확률 : +8%,4.3043%
몬스터 방어율 무시 : +30%,5.6604%,데미지 : +6%,3.9130%,데미지 : +6%,4.3043%
피격 시 5% 확률로 데미지의 20% 무시,7.5472%,올스탯 : +3%,3.9130%,올스탯 : +3%,4.3043%
피격 시 5% 확률로 데미지의 40% 무시,7.5472%,공격 시 20% 확률로 360의 HP 회복,3.9130%,공격 시 20% 확률로 360의 HP 회복,4.3043%
보스 몬스터 공격 시 데미지 : +20%,5.6604%,공격 시 20% 확률로 180의 MP 회복,3.9130%,공격 시 20% 확률로 180의 MP 회복,4.3043%
보스 몬스터 공격 시 데미지 : +30%,3.7736%,몬스터 방어율 무시 : +15%,3.9130%,몬스터 방어율 무시 : +15%,4.3043%
,,STR : +9%,0.9434%,STR : +9%,0.0943%
,,DEX : +9%,0.9434%,DEX : +9%,0.0943%
,,INT : +9%,0.9434%,INT : +9%,0.0943%
,,LUK : +9%,0.9434%,LUK : +9%,0.0943%
,,공격력 : +9%,0.5660%,공격력 : +9%,0.0566%
,,마력 : +9%,0.5660%,마력 : +9%,0.0566%
,,크리티컬 확률 : +9%,0.7547%,크리티컬 확률 : +9%,0.0755%
,,데미지 : +9%,0.5660%,데미지 : +9%,0.0566%
,,올스탯 : +6%,0.7547%,올스탯 : +6%,0.0755%
,,몬스터 방어율 무시 : +30%,0.5660%,몬스터 방어율 무시 : +30%,0.0566%
,,피격 시 5% 확률로 데미지의 20% 무시,0.7547%,피격 시 5% 확률로 데미지의 20% 무시,0.0755%
,,피격 시 5% 확률로 데미지의 40% 무시,0.7547%,피격 시 5% 확률로 데미지의 40% 무시,0.0755%
,,보스 몬스터 공격 시 데미지 : +20%,0.5660%,보스 몬스터 공격 시 데미지 : +20%,0.0566%
,,보스 몬스터 공격 시 데미지 : +30%,0.3774%,보스 몬스터 공격 시 데미지 : +30%,0.0377%
