옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,8.9286%,STR : +6%,12.8571%,STR : +6%,14.1429%
DEX : +9%,8.9286%,DEX : +6%,12.8571%,DEX : +6%,14.1429%
INT : +9%,8.9286%,INT : +6%,12.8571%,INT : +6%,14.1429%
LUK : +9%,8.9286%,LUK : +6%,12.8571%,LUK : +6%,14.1429%
최대 HP : +9%,10.7143%,최대 HP : +6%,12.8571%,최대 HP : +6%,14.1429%
최대 MP : +9%,10.7143%,최대 MP : +6%,12.8571%,최대 MP : +6%,14.1429%
방어력 : +9%,7.1429%,방어력 : +6%,7.7143%,방어력 : +6%,8.4857%
올스탯 : +6%,7.1429%,올스탯 : +3%,5.1429%,올스탯 : +3%,5.6571%
피격 시 5% 확률로 데미지의 20% 무시,7.1429%,STR : +9%,0.8929%,STR : +9%,0.0893%
피격 시 5% 확률로 데미지의 40% 무시,7.1429%,DEX : +9%,0.8929%,DEX : +9%,0.0893%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,7.1429%,INT : +9%,0.8929%,INT : +9%,0.0893%
<쓸만한 헤이스트> 스킬 사용 가능,7.1429%,LUK : +9%,0.8929%,LUK : +9%,0.0893%
,,최대 HP : +9%,1.0714%,최대 HP : +9%,0.1071%
,,최대 MP : +9%,1.0714%,최대 MP : +9%,0.1071%
,,방어력 : +9%,0.7143%,방어력 : +9%,0.0714%
,,올스탯 : +6%,0.7143%,올스탯 : +6%,0.0714%
,,피격 시 5% 확률로 데미지의 20% 무시,0.7143%,피격 시 5% 확률로 데미지의 20% 무시,0.0714%
,,피격 시 5% 확률로 데미지의 40% 무시,0.7143%,피격 시 5% 확률로 데미지의 40% 무시,0.0714%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.7143%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.0714%
,,<쓸만한 헤이스트> 스킬 사용 가능,0.7143%,<쓸만한 헤이스트> 스킬 사용 가능,0.0714%
