옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,12.5000%,STR : +6%,9.7826%,STR : +6%,10.7609%
DEX : +9%,12.5000%,DEX : +6%,9.7826%,DEX : +6%,10.7609%
INT : +9%,12.5000%,INT : +6%,9.7826%,INT : +6%,10.7609%
LUK : +9%,12.5000%,LUK : +6%,9.7826%,LUK : +6%,10.7609%
공격력 : +9%,7.5000%,최대 HP : +6%,9.7826%,최대 HP : +6%,10.7609%
마력 : +9%,7.5000%,최대 MP : +6%,9.7826%,최대 MP : +6%,10.7609%
크리티컬 확률 : +9%,10.0000%,공격력 : +6%,3.9130%,공격력 : +6%,4.3043%
데미지 : +9%,7.5000%,마력 : +6%,3.9130%,마력 : +6%,4.3043%
올스탯 : +6%,10.0000%,크리티컬 확률 : +8%,3.9130%,크리티컬 확률 : +8%,4.3043%
몬스터 방어율 무시 : +30%,7.5000%,데미지 : +6%,3.9130%,데미지 : +6%,4.3043%
,,올스탯 : +3%,3.9130%,올스탯 : +3%,4.3043%
,,공격 시 20% 확률로 300의 HP 회복,3.9130%,공격 시 20% 확률로 300의 HP 회복,4.3043%
,,공격 시 20% 확률로 165의 MP 회복,3.9130%,공격 시 20% 확률로 165의 MP 회복,4.3043%
,,몬스터 방어율 무시 : +15%,3.9130%,몬스터 방어율 무시 : +15%,4.3043%
,,STR : +9%,1.2500%,STR : +9%,0.1250%
,,DEX : +9%,1.2500%,DEX : +9%,0.1250%
,,INT : +9%,1.2500%,INT : +9%,0.1250%
,,LUK : +9%,1.2500%,LUK : +9%,0.1250%
,,공격력 : +9%,0.7500%,공격력 : +9%,0.0750%
,,마력 : +9%,0.7500%,마력 : +9%,0.0750%
,,크리티컬 확률 : +9%,1.0000%,크리티컬 확률 : +9%,0.1000%
,,데미지 : +9%,0.7500%,데미지 : +9%,0.0750%
,,올스탯 : +6%,1.0000%,올스탯 : +6%,0.1000%
,,몬스터 방어율 무시 : +30%,0.7500%,몬스터 방어율 무시 : +30%,0.0750%
