옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,8.3333%,STR : +6%,10.9756%,STR : +6%,12.0732%
DEX : +9%,8.3333%,DEX : +6%,10.9756%,DEX : +6%,12.0732%
INT : +9%,8.3333%,INT : +6%,10.9756%,INT : +6%,12.0732%
LUK : +9%,8.3333%,LUK : +6%,10.9756%,LUK : +6%,12.0732%
최대 HP : +9%,10.0000%,최대 HP : +6%,10.9756%,최대 HP : +6%,12.0732%
최대 MP : +9%,10.0000%,최대 MP : +6%,10.9756%,최대 MP : +6%,12.0732%
방어력 : +9%,6.6667%,방어력 : +6%,6.5854%,방어력 : +6%,7.2439%
올스탯 : +6%,6.6667%,올스탯 : +3%,4.3902%,올스탯 : +3%,4.8293%
캐릭터 기준 10레벨 당 STR : +1,1.6667%,몬스터 처치 시 15% 확률로 95의 HP 회복,6.5854%,몬스터 처치 시 15% 확률로 95의 HP 회복,7.2439%
캐릭터 기준 10레벨 당 DEX : +1,1.6667%,몬스터 처치 시 15% 확률로 95의 MP 회복,6.5854%,몬스터 처치 시 15% 확률로 95의 MP 회복,7.2439%
캐릭터 기준 10레벨 당 INT : +1,1.6667%,STR : +9%,0.8333%,STR : +9%,0.0833%
캐릭터 기준 10레벨 당 LUK : +1,1.6667%,DEX : +9%,0.8333%,DEX : +9%,0.0833%
피격 시 5% 확률로 데미지의 20% 무시,6.6667%,INT : +9%,0.8333%,INT : +9%,0.0833%
피격 시 5% 확률로 데미지의 40% 무시,6.6667%,LUK : +9%,0.8333%,LUK : +9%,0.0833%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,6.6667%,최대 HP : +9%,1.0000%,최대 HP : +9%,0.1000%
<쓸만한 샤프 아이즈> 스킬 사용
                                    가능,6.6667%,최대 MP : +9%,1.0000%,최대 MP : +9%,0.1000%
,,방어력 : +9%,0.6667%,방어력 : +9%,0.0667%
,,올스탯 : +6%,0.6667%,올스탯 : +6%,0.0667%
,,캐릭터 기준 10레벨 당 STR : +1,0.1667%,캐릭터 기준 10레벨 당 STR : +1,0.0167%
,,캐릭터 기준 10레벨 당 DEX : +1,0.1667%,캐릭터 기준 10레벨 당 DEX : +1,0.0167%
,,캐릭터 기준 10레벨 당 INT : +1,0.1667%,캐릭터 기준 10레벨 당 INT : +1,0.0167%
,,캐릭터 기준 10레벨 당 LUK : +1,0.1667%,캐릭터 기준 10레벨 당 LUK : +1,0.0167%
,,피격 시 5% 확률로 데미지의 20% 무시,0.6667%,피격 시 5% 확률로 데미지의 20% 무시,0.0667%
,,피격 시 5% 확률로 데미지의 40% 무시,0.6667%,피격 시 5% 확률로 데미지의 40% 무시,0.0667%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.6667%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.0667%
,,<쓸만한 샤프 아이즈> 스킬 사용 가능,0.6667%,<쓸만한 샤프 아이즈> 스킬 사용 가능,0.0667%
