옵션1,확률1,옵션2,확률2,옵션3,확률3
STR : +9%,7.5758%,STR : +6%,11.8421%,STR : +6%,13.0263%
DEX : +9%,7.5758%,DEX : +6%,11.8421%,DEX : +6%,13.0263%
INT : +9%,7.5758%,INT : +6%,11.8421%,INT : +6%,13.0263%
LUK : +9%,7.5758%,LUK : +6%,11.8421%,LUK : +6%,13.0263%
최대 HP : +9%,9.0909%,최대 HP : +6%,11.8421%,최대 HP : +6%,13.0263%
최대 MP : +9%,9.0909%,최대 MP : +6%,11.8421%,최대 MP : +6%,13.0263%
방어력 : +9%,6.0606%,방어력 : +6%,7.1053%,방어력 : +6%,7.8158%
올스탯 : +6%,6.0606%,올스탯 : +3%,4.7368%,올스탯 : +3%,5.2105%
피격 시 5% 확률로 데미지의 20% 무시,6.0606%,피격 후 무적시간 : +1초,7.1053%,피격 후 무적시간 : +1초,7.8158%
피격 시 5% 확률로 데미지의 40% 무시,6.0606%,STR : +9%,0.7576%,STR : +9%,0.0758%
피격 후 무적시간 : +2초,6.0606%,DEX : +9%,0.7576%,DEX : +9%,0.0758%
피격 시 2% 확률로 7초간 무적,6.0606%,INT : +9%,0.7576%,INT : +9%,0.0758%
30% 확률로 받은 피해의 50%를 반사,6.0606%,LUK : +9%,0.7576%,LUK : +9%,0.0758%
30% 확률로 받은 피해의 70%를 반사,3.0303%,최대 HP : +9%,0.9091%,최대 HP : +9%,0.0909%
HP 회복 아이템 및 회복 스킬 효율 :
                                    +30%,6.0606%,최대 MP : +9%,0.9091%,최대 MP : +9%,0.0909%
,,방어력 : +9%,0.6061%,방어력 : +9%,0.0606%
,,올스탯 : +6%,0.6061%,올스탯 : +6%,0.0606%
,,피격 시 5% 확률로 데미지의 20% 무시,0.6061%,피격 시 5% 확률로 데미지의 20% 무시,0.0606%
,,피격 시 5% 확률로 데미지의 40% 무시,0.6061%,피격 시 5% 확률로 데미지의 40% 무시,0.0606%
,,피격 후 무적시간 : +2초,0.6061%,피격 후 무적시간 : +2초,0.0606%
,,피격 시 2% 확률로 7초간 무적,0.6061%,피격 시 2% 확률로 7초간 무적,0.0606%
,,30% 확률로 받은 피해의 50%를 반사,0.6061%,30% 확률로 받은 피해의 50%를 반사,0.0606%
,,30% 확률로 받은 피해의 70%를 반사,0.3030%,30% 확률로 받은 피해의 70%를 반사,0.0303%
,,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.6061%,HP 회복 아이템 및 회복 스킬 효율 : +30%,0.0606%
